,Title,Url of image
0,"""A Problem from Hell"": America and the Age of Genocide (Paperback)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388247387l/368731._SY75_.jpg
1,"""Believing Women"" in Islam: Unreading Patriarchal Interpretations of the Qur'an (Paperback)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348961323l/530114._SX50_.jpg
2,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character (Paperback)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1504936953l/35167685._SX50_.jpg
3,"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character (Paperback)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516068365l/35167718._SY75_.jpg
4,"#AskGaryVee: One Entrepreneur's Take on Leadership, Social Media, and Self-Awareness (Hardcover)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1454284335l/25816851._SY75_.jpg
5,#Girlboss (Hardcover),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390931472l/18667945._SY75_.jpg
6,"#Hater (Hashtag, #2)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417793105l/23561961._SX50_.jpg
7,"#Junkie (GearShark, #1)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447443549l/27824473._SY75_.jpg
8,"#Nerd (Hashtag, #1)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457187367l/23493256._SX50_.jpg
9,#Notyourprincess: Voices of Native American Women (Paperback),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1502310718l/33215514._SX50_.jpg
10,"#Player (Hashtag, #3)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424063674l/24568119._SY75_.jpg
11,"#Poser (Hashtag, #5)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438864561l/25784226._SY75_.jpg
12,"#Rev (GearShark, #2)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459132152l/29633229._SY75_.jpg
13,"#Selfie (Hashtag, #4)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428940792l/25210301._SY75_.jpg
14,$2.00 a Day: Living on Almost Nothing in America (Hardcover),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421139939l/23719398._SY75_.jpg
15,'Salem's Lot (Hardcover),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320478491l/5413._SY75_.jpg
16,'Salem's Lot (Paperback),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327891565l/11590._SY75_.jpg
17,'Tis (Paperback),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375947803l/4912._SY75_.jpg
18,", said the shotgun to the head. (Paperback)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438773902l/6549._SX50_.jpg
19,"1,000 Places to See Before You Die (Paperback)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387718704l/11525._SX50_.jpg
20,"1,000 Places to See in the U.S.A. & Canada Before You Die (Hardcover)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442764522l/881481._SX50_.jpg
21,10 Blind Dates (Hardcover),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553102132l/43885673._SY75_.jpg
22,10 Secrets for Success and Inner Peace (Hardcover),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348916100l/926206._SX50_.jpg
23,10 Steps to Earning Awesome Grades (While Studying Less),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430761174l/24377513._SX50_.jpg
24,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works (Hardcover)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451446393l/18505796._SY75_.jpg
25,100 Acts of Minor Dissent (Kindle Edition),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437118862l/25790962._SX50_.jpg
26,100 Best-Loved Poems (Paperback),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410229808l/463475._SY75_.jpg
27,"100 Bullets, Vol. 1: First Shot, Last Call (Paperback)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327888942l/94510._SY75_.jpg
28,"100 Bullets, Vol. 2: Split Second Chance (Paperback)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328137992l/94513._SY75_.jpg
29,"100 Bullets, Vol. 3: Hang Up on the Hang Low (Paperback)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348885318l/888825._SY75_.jpg
30,"100 Bullets, Vol. 5: The Counterfifth Detective (Paperback)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349026987l/94516._SY75_.jpg
31,100 Great Science Fiction Short Short Stories (Mass Market Paperback),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1305643417l/666584._SY75_.jpg
32,100 Love Sonnets (Paperback),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388324821l/11339._SY75_.jpg
33,100 Places Every Woman Should Go (Paperback),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921657l/214717._SX50_.jpg
34,100 Poems from the Japanese (Paperback),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347621312l/707569._SY75_.jpg
35,100 Selected Poems (Paperback),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388179993l/76889._SY75_.jpg
