Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
11084145-steve-j,Steve Jobs (Hardcover),Walter Isaacson,4.15,1079960,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511288482l/11084145._SY75_.jpg,biography
48855.The_Diary_of_a_Young_Girl,The Diary of a Young Girl (Mass Market Paperback),Anne Frank,4.17,3097162,1947,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560816565l/48855._SY75_.jpg,biography
38746485-becoming,Becoming (Hardcover),Michelle Obama,4.5,769171,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528206996l/38746485._SY75_.jpg,biography
8664353-unbroken,"Unbroken: A World War II Story of Survival, Resilience and Redemption (Hardcover)",Laura Hillenbrand,4.35,848055,2010,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327861115l/8664353._SY75_.jpg,biography
25541028-elon-mu,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future (Hardcover)",Ashlee Vance,4.21,304679,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518291452l/25541028._SY75_.jpg,biography
2203.John_Adam,John Adams (Paperback),David McCullough,4.04,344433,2001,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1478144278l/2203._SX50_.jpg,biography
16130.Alexander_Hamilton,Alexander Hamilton (Paperback),Ron Chernow,4.17,160232,2004,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436131915l/16130._SY75_.jpg,biography
35133922-educated,Educated (Hardcover),Tara Westover,4.46,1055470,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506026635l/35133922._SY75_.jpg,biography
10884.Einstein,Einstein: His Life and Universe (Hardcover),Walter Isaacson,4.12,158633,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328011405l/10884._SY75_.jpg,biography
6493208-the-immortal-life-of-henrietta-lac,The Immortal Life of Henrietta Lacks (Hardcover),Rebecca Skloot,4.07,648133,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327878144l/6493208._SY75_.jpg,biography
29780253-born-a-crime,Born a Crime: Stories From a South African Childhood (Hardcover),Trevor Noah,4.45,510567,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473867911l/29780253._SY75_.jpg,biography
9418327-bossypant,Bossypants (Kindle Edition),Tina Fey,3.95,919545,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481509554l/9418327._SY75_.jpg,biography
1845.Into_the_Wild,Into the Wild (Paperback),Jon Krakauer,3.99,955699,1996,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634587789l/1845._SY75_.jpg,biography
92057.The_Autobiography_of_Malcolm_X,The Autobiography of Malcolm X (Paperback),Malcolm X,4.32,237144,1965,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434682864l/92057._SY75_.jpg,biography
