Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
1885.Pride_and_Prejudice,Pride and Prejudice (Paperback),Jane Austen,4.27,3407278,1813,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351l/1885._SY75_.jpg,classics
4671.The_Great_Gatsby,The Great Gatsby (Paperback),F. Scott Fitzgerald,3.93,4217214,1925,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490528560l/4671._SY75_.jpg,classics
2657.To_Kill_a_Mockingbird,To Kill a Mockingbird (Paperback),Harper Lee,4.27,5025531,1960,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690l/2657._SY75_.jpg,classics
10210.Jane_Eyre,Jane Eyre (Paperback),Charlotte Brontë,4.13,1785784,1847,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311l/10210._SY75_.jpg,classics
40961427-1984,1984 (Kindle Edition),George Orwell,4.19,3610028,1949,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506l/40961427._SX50_.jpg,classics
6185.Wuthering_Height,Wuthering Heights (Paperback),Emily Brontë,3.87,1491112,1847,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630501681l/6185._SY75_.jpg,classics
170448.Animal_Farm,Animal Farm (Mass Market Paperback),George Orwell,3.97,3105286,1945,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570l/170448._SY75_.jpg,classics
5107.The_Catcher_in_the_Rye,The Catcher in the Rye (Paperback),J.D. Salinger,3.81,2996439,1951,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300l/5107._SY75_.jpg,classics
1934.Little_Women,Little Women (Paperback),Louisa May Alcott,4.11,1854556,1869,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475l/1934._SY75_.jpg,classics
5297.The_Picture_of_Dorian_Gray,The Picture of Dorian Gray (Paperback),Oscar Wilde,4.1,1122799,1890,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428l/5297._SY75_.jpg,classics
35031085-frankenstein,Frankenstein: The 1818 Text (Paperback),Mary Wollstonecraft Shelley,3.83,1293017,1818,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631088473l/35031085._SY75_.jpg,classics
7624.Lord_of_the_Flie,Lord of the Flies (Paperback),William Golding,3.69,2485078,1954,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409l/7624._SY75_.jpg,classics
18135.Romeo_and_Juliet,Romeo and Juliet (Mass Market Paperback),William Shakespeare,3.75,2233989,1597,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630631323l/18135._SY75_.jpg,classics
890.Of_Mice_and_Men,Of Mice and Men (Paperback),John Steinbeck,3.88,2130204,1937,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904l/890._SX50_.jpg,classics
14935.Sense_and_Sensibility,Sense and Sensibility (Paperback),Jane Austen,4.08,1037930,1811,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397245675l/14935._SY75_.jpg,classics
6969.Emma,Emma (Paperback),Jane Austen,4.02,728517,1815,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373627931l/6969._SY75_.jpg,classics
13079982-fahrenheit-451,Fahrenheit 451 (Kindle Edition),Ray Bradbury,3.98,1919497,1953,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290l/13079982._SY75_.jpg,classics
17245.Dracula,Dracula (Paperback),Bram Stoker,4.0,1048951,1897,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694l/17245._SY75_.jpg,classics
1953.A_Tale_of_Two_Citie,A Tale of Two Cities (Paperback),Charles Dickens,3.86,861059,1859,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344922523l/1953._SY75_.jpg,classics
2956.The_Adventures_of_Huckleberry_Finn,The Adventures of Huckleberry Finn (Paperback),Mark Twain,3.82,1200154,1884,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546096879l/2956._SX50_.jpg,classics
2623.Great_Expectation,Great Expectations (Paperback),Charles Dickens,3.78,706340,1860,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631687432l/2623._SY75_.jpg,classics
12296.The_Scarlet_Letter,The Scarlet Letter (Paperback),Nathaniel Hawthorne,3.42,760477,1850,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404810944l/12296._SY75_.jpg,classics
2156.Persuasion,Persuasion (Paperback),Jane Austen,4.14,574401,1817,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385172413l/2156._SY75_.jpg,classics
15823480-anna-karenina,Anna Karenina (Paperback),Leo Tolstoy,4.06,730283,1877,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601352433l/15823480._SX50_.jpg,classics
7126.The_Count_of_Monte_Crist,The Count of Monte Cristo (Paperback),Alexandre Dumas,4.26,806120,1844,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1611834134l/7126._SY75_.jpg,classics
1381.The_Odyssey,The Odyssey (Paperback),Homer,3.78,929784,-800,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390173285l/1381._SY75_.jpg,classics
5129.Brave_New_World,Brave New World (Paperback),Aldous Huxley,3.99,1589850,1932,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575509280l/5129._SY75_.jpg,classics
1420.Hamlet,Hamlet (Paperback),William Shakespeare,4.03,801094,1601,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351051208l/1420._SY75_.jpg,classics
7144.Crime_and_Punishment,Crime and Punishment (Paperback),Fyodor Dostoevsky,4.23,714620,1866,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449l/7144._SY75_.jpg,classics
5326.A_Christmas_Carol,A Christmas Carol (Paperback),Charles Dickens,4.06,672315,1843,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406512317l/5326._SY75_.jpg,classics
5907.The_Hobbit_or_There_and_Back_Again,"The Hobbit, or There and Back Again (Paperback)",J.R.R. Tolkien,4.28,3219355,1937,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546071216l/5907._SY75_.jpg,classics
2998.The_Secret_Garden,The Secret Garden (Hardcover),Frances Hodgson Burnett,4.13,996786,1910,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873635l/2998._SY75_.jpg,classics
8852.Macbet,Macbeth (Paperback),William Shakespeare,3.9,745457,1606,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459795224l/8852._SY75_.jpg,classics
24280.Les_Mis_rable,Les Misérables (Mass Market Paperback),Victor Hugo,4.18,727462,1862,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411852091l/24280._SY75_.jpg,classics
2165.The_Old_Man_and_the_Sea,The Old Man and the Sea (Hardcover),Ernest Hemingway,3.79,933370,1952,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630572642l/2165._SY75_.jpg,classics
157993.The_Little_Prince,The Little Prince (Paperback),Antoine de Saint-Exupéry,4.31,1615989,1943,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443l/157993._SY75_.jpg,classics
50398.Northanger_Abbey,Northanger Abbey (Paperback),Jane Austen,3.84,334390,1817,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388201718l/50398._SY75_.jpg,classics
24583.The_Adventures_of_Tom_Sawyer,The Adventures of Tom Sawyer (Paperback),Mark Twain,3.92,823475,1876,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404811979l/24583._SY75_.jpg,classics
48855.The_Diary_of_a_Young_Girl,The Diary of a Young Girl (Mass Market Paperback),Anne Frank,4.17,3097176,1947,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560816565l/48855._SY75_.jpg,classics
18114322-the-grapes-of-wrat,The Grapes of Wrath (Hardcover),John Steinbeck,3.98,807602,1939,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375670575l/18114322._SY75_.jpg,classics
