Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
472331.Watchmen,Watchmen (Paperback),Alan Moore,4.37,512787,1987,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442239711l/472331._SY75_.jpg,comics
15704307-saga-vol-1,"Saga, Vol. 1 (Paperback)",Brian K. Vaughan,4.17,287748,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486028947l/15704307._SY75_.jpg,comics
96358.Batman,Batman: The Killing Joke (Paperback),Alan Moore,4.37,185270,1988,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346331835l/96358._SX50_.jpg,comics
5805.V_for_Vendetta,V for Vendetta (Hardcover),Alan Moore,4.25,287057,1990,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1343668985l/5805._SY75_.jpg,comics
23754.Preludes_Nocturne,"Preludes & Nocturnes (The Sandman, #1)",Neil Gaiman,4.22,234265,1991,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411609637l/23754._SY75_.jpg,comics
59980.Batman,Batman: Year One (Paperback),Frank Miller,4.22,219344,1987,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574630214l/59980._SY75_.jpg,comics
17131869-saga-vol-2,"Saga, Vol. 2 (Paperback)",Brian K. Vaughan,4.5,100451,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486028954l/17131869._SY75_.jpg,comics
19358975-saga-vol-3,"Saga, Vol. 3 (Paperback)",Brian K. Vaughan,4.49,86703,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486028973l/19358975._SY75_.jpg,comics
20898019-ms-marvel-vol-1,"Ms. Marvel, Vol. 1: No Normal (Paperback)",G. Willow Wilson,4.12,84850,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413031883l/20898019._SY75_.jpg,comics
21326.Fables_Vol_1,"Fables, Vol. 1: Legends in Exile (Paperback)",Bill Willingham,3.96,137030,2002,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375392441l/21326._SY75_.jpg,comics
25099.The_Doll_s_House,"The Doll's House (The Sandman, #2)",Neil Gaiman,4.44,86307,1990,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298566119l/25099._SY75_.jpg,comics
156534.Unmanned,Unmanned (Y: The Last Man #1),Brian K. Vaughan,4.08,109412,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388178315l/156534._SY75_.jpg,comics
23093367-saga-vol-4,"Saga, Vol. 4 (Paperback)",Brian K. Vaughan,4.42,71753,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486028981l/23093367._SY75_.jpg,comics
106069.Batman,Batman: The Long Halloween (Paperback),Jeph Loeb,4.32,84834,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350137101l/106069._SY75_.jpg,comics
138398.The_Walking_Dead_Vol_1,"The Walking Dead, Vol. 1: Days Gone Bye (Paperback)",Robert Kirkman,4.27,213027,2004,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389233242l/138398._SY75_.jpg,comics
29800.Scott_Pilgrim_Volume_1,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life (Paperback)",Bryan Lee O'Malley,4.17,178019,2004,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348109012l/29800._SX50_.jpg,comics
25451555-saga-vol-5,"Saga, Vol. 5 (Paperback)",Brian K. Vaughan,4.4,62459,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486028990l/25451555._SY75_.jpg,comics
28204534-paper-girls-vol-1,"Paper Girls, Vol. 1 (Paperback)",Brian K. Vaughan,3.88,79253,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506952499l/28204534._SY75_.jpg,comics
