Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
2429135.The_Girl_with_the_Dragon_Tatt,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.15,2837549,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868566l/2429135._SX50_.jpg,crime
5060378-the-girl-who-played-with-fire,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.24,862829,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351778881l/5060378._SX50_.jpg,crime
19288043-gone-girl,Gone Girl (Paperback),Gillian Flynn,4.09,2583663,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554086139l/19288043._SY75_.jpg,crime
16299.And_Then_There_Were_None,And Then There Were None (Paperback),Agatha Christie,4.26,996506,1939,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391120695l/16299._SY75_.jpg,crime
22557272-the-girl-on-the-train,The Girl on the Train (Hardcover),Paula Hawkins,3.94,2397604,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574805682l/22557272._SX50_.jpg,crime
6892870-the-girl-who-kicked-the-hornet-s-nest,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,4.22,691331,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327708260l/6892870._SX50_.jpg,crime
853510.Murder_on_the_Orient_Expre,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.18,460253,1934,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486131451l/853510._SY75_.jpg,crime
16160797-the-cuckoo-s-calling,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,3.87,526395,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540217136l/16160797._SY75_.jpg,crime
168642.In_Cold_Blood,In Cold Blood (Paperback),Truman Capote,4.06,588673,1965,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424931136l/168642._SY75_.jpg,crime
18045891-sharp-object,Sharp Objects (Paperback),Gillian Flynn,3.99,801768,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1475695315l/18045891._SY75_.jpg,crime
102868.A_Study_in_Scarlet,"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,4.14,372534,1887,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519031842l/102868._SX50_.jpg,crime
2459785.In_the_Wood,"In the Woods (Dublin Murder Squad, #1)",Tana French,3.77,354461,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562761513l/2459785._SY75_.jpg,crime
5886881-dark-place,Dark Places (Hardcover),Gillian Flynn,3.93,651032,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354988288l/5886881._SY75_.jpg,crime
18214414-the-silkworm,"The Silkworm (Cormoran Strike, #2)",Robert Galbraith,4.04,239530,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540217126l/18214414._SY75_.jpg,crime
22034.The_Godfather,"The Godfather (The Godfather, #1)",Mario Puzo,4.35,370654,1969,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394988109l/22034._SY75_.jpg,crime
23807.The_Silence_of_the_Lam,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.21,512358,1988,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1167461954l/23807._SY75_.jpg,crime
28877.Red_Dragon,"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,4.03,306587,1981,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1593241110l/28877._SY75_.jpg,crime
16328.The_Murder_of_Roger_Ackroyd,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,4.24,192931,1926,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389734015l/16328._SY75_.jpg,crime
52843028-the-mysterious-affair-at-style,"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,3.98,312243,1920,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585632445l/52843028._SY75_.jpg,crime
8921.The_Hound_of_the_Baskerville,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.13,290410,1901,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355929358l/8921._SX50_.jpg,crime
968.The_Da_Vinci_Code,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.88,2095484,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579621267l/968._SY75_.jpg,crime
35068432-i-ll-be-gone-in-the-dar,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer (ebook),Michelle McNamara,4.1,200188,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499131009l/35068432._SY75_.jpg,crime
40611999-career-of-evil,"Career of Evil (Cormoran Strike, #3)",Robert Galbraith,4.19,185965,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529685910l/40611999._SY75_.jpg,crime
131359.Death_on_the_Nile,"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,4.11,167384,1937,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486837149l/131359._SY75_.jpg,crime
2052.The_Big_Sleep,The Big Sleep (Paperback),Raymond Chandler,3.95,145762,1939,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371584712l/2052._SY75_.jpg,crime
397483.The_Devil_in_the_White_City,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America (Hardcover)",Erik Larson,3.98,590003,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583433024l/397483._SY75_.jpg,crime
960.Angels_Demon,"Angels & Demons (Robert Langdon, #1)",Dan Brown,3.92,2883291,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630637257l/960._SX50_.jpg,crime
9572203-the-snowman,"The Snowman (Harry Hole, #7)",Jo Nesbø,4.01,126411,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355881478l/9572203._SY75_.jpg,crime
3590.The_Adventures_of_Sherlock_Holme,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.29,268986,1892,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1164045516l/3590._SY75_.jpg,crime
29908754-the-zombie-room,The Zombie Room (Kindle Edition),R.D. Ronald,4.2,97035,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460547041l/29908754._SY75_.jpg,crime
17345209-the-bat,"The Bat (Harry Hole, #1)",Jo Nesbø,3.56,103647,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364767794l/17345209._SY75_.jpg,crime
21449526-assuming-name,Assuming Names: A Con Artist's Masquerade (ebook),Tanya Thompson,3.77,37610,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394851829l/21449526._SX50_.jpg,crime
9293020-the-elephant-tree,The Elephant Tree (Paperback),R.D. Ronald,4.19,98769,2010,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327248026l/9293020._SY75_.jpg,crime
27824826-the-dry,"The Dry (Aaron Falk, #1)",Jane Harper,4.02,200017,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456113132l/27824826._SY75_.jpg,crime
608474.The_Sign_of_Four,"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,3.92,133619,1890,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1299346921l/608474._SY75_.jpg,crime
16322.The_A_B_C_Murder,"The A.B.C. Murders (Hercule Poirot, #13)",Agatha Christie,4.02,123380,1936,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389733983l/16322._SY75_.jpg,crime
78129.Killing_Floor,"Killing Floor (Jack Reacher, #1)",Lee Child,4.05,278557,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1399313258l/78129._SY75_.jpg,crime
6534.Postmortem,"Postmortem (Kay Scarpetta, #1)",Patricia Daniels Cornwell,4.02,227196,1990,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341835831l/6534._SY75_.jpg,crime
465226.The_Redbreast,"The Redbreast (Harry Hole, #3)",Jo Nesbø,3.94,99195,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320540474l/465226._SY75_.jpg,crime
12232938-the-lovely-bone,The Lovely Bones (Mass Market Paperback),Alice Sebold,3.83,2148816,2002,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457810586l/12232938._SY75_.jpg,crime
231604.D_j_Dead,"Déjà Dead (Temperance Brennan, #1)",Kathy Reichs,3.86,150218,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334157601l/231604._SY75_.jpg,crime
32508.The_Black_Ec,"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",Michael Connelly,4.09,174454,1992,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344265342l/32508._SY75_.jpg,crime
