Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
3.Harry_Potter_and_the_Sorcerer_s_Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,8027934,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022l/3._SY75_.jpg,fantasy
15881.Harry_Potter_and_the_Chamber_of_Secret,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,3098122,1998,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474169725l/15881._SY75_.jpg,fantasy
5.Harry_Potter_and_the_Prisoner_of_Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.57,3235066,1999,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630547330l/5._SY75_.jpg,fantasy
5907.The_Hobbit_or_There_and_Back_Again,"The Hobbit, or There and Back Again (Paperback)",J.R.R. Tolkien,4.28,3218150,1937,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546071216l/5907._SY75_.jpg,fantasy
6.Harry_Potter_and_the_Goblet_of_Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.56,2914640,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554006152l/6._SX50_.jpg,fantasy
2.Harry_Potter_and_the_Order_of_the_Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,2807139,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265l/2._SX50_.jpg,fantasy
136251.Harry_Potter_and_the_Deathly_Hall,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.61,3118330,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474171184l/136251._SY75_.jpg,fantasy
1.Harry_Potter_and_the_Half_Blood_Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.57,2720858,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587697303l/1._SX50_.jpg,fantasy
13496.A_Game_of_Throne,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,2170547,1996,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234l/13496._SY75_.jpg,fantasy
3263607-the-fellowship-of-the-ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.37,2522105,1954,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486871542l/3263607._SY75_.jpg,fantasy
10572.A_Clash_of_King,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.4,839623,1998,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567840212l/10572._SY75_.jpg,fantasy
186074.The_Name_of_the_Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.51,805048,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1270352123l/186074._SX50_.jpg,fantasy
222910.The_Two_Tower,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.45,795712,1954,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486871714l/222910._SY75_.jpg,fantasy
838729.The_Return_of_the_King,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.54,744945,1955,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574117762l/838729._SY75_.jpg,fantasy
62291.A_Storm_of_Sword,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.53,705277,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571318786l/62291._SY75_.jpg,fantasy
13497.A_Feast_for_Cr,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.14,668791,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429538615l/13497._SY75_.jpg,fantasy
100915.The_Lion_the_Witch_and_the_Wardrobe,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.22,2354616,1950,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353029077l/100915._SY75_.jpg,fantasy
119322.The_Golden_Compa,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4,1384434,1995,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505766203l/119322._SX50_.jpg,fantasy
68428.The_Final_Empire,"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.44,480607,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1617768316l/68428._SY75_.jpg,fantasy
28187.The_Lightning_Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.27,2300860,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609l/28187._SY75_.jpg,fantasy
113436.Eragon,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.92,1558994,2002,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366212852l/113436._SX50_.jpg,fantasy
23437156-six-of-cr,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.47,561888,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628438817l/23437156._SX50_.jpg,fantasy
10664113-a-dance-with-dragon,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.31,595538,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581625286l/10664113._SX50_.jpg,fantasy
30165203-american-god,"American Gods (American Gods, #1)",Neil Gaiman,4.1,827392,2001,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462924585l/30165203._SY75_.jpg,fantasy
10194157-shadow-and-bone,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,3.97,621305,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339533695l/10194157._SX50_.jpg,fantasy
16096824-a-court-of-thorns-and-rose,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.18,784314,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546406962l/16096824._SY75_.jpg,fantasy
7896527-throne-of-gla,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.18,765035,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495278054l/7896527._SY75_.jpg,fantasy
41865.Twilight,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.62,5489670,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039443l/41865._SY75_.jpg,fantasy
9361589-the-night-circu,The Night Circus (Hardcover),Erin Morgenstern,4.03,790555,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387124618l/9361589._SY75_.jpg,fantasy
228665.The_Eye_of_the_World,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.17,440885,1990,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337818095l/228665._SY75_.jpg,fantasy
12067.Good_Omen,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",Terry Pratchett,4.23,614763,1990,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615552073l/12067._SY75_.jpg,fantasy
16793.Stardust,Stardust (Paperback),Neil Gaiman,4.08,396163,1998,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459127484l/16793._SY75_.jpg,fantasy
14497.Neverwhere,"Neverwhere (London Below, #1)",Neil Gaiman,4.16,470496,1996,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348747943l/14497._SX50_.jpg,fantasy
22055262-a-darker-shade-of-magic,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,4.06,257803,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400322851l/22055262._SY75_.jpg,fantasy
1215032.The_Wise_Man_s_Fear,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.53,477462,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452624392l/1215032._SY75_.jpg,fantasy
7235533-the-way-of-king,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.6,367132,2010,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388184640l/7235533._SY75_.jpg,fantasy
29588376-the-lies-of-locke-lamora,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.25,259435,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458646334l/29588376._SY75_.jpg,fantasy
15783514-the-ocean-at-the-end-of-the-lane,The Ocean at the End of the Lane (Hardcover),Neil Gaiman,4,531865,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497098563l/15783514._SY75_.jpg,fantasy
29056083-harry-potter-and-the-cursed-child,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",John Tiffany,3.56,817098,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470082995l/29056083._SY75_.jpg,fantasy
77197.Assassin_s_Apprentice,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.16,264529,1995,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464570795l/77197._SY75_.jpg,fantasy
