Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
2657.To_Kill_a_Mockingbird,To Kill a Mockingbird (Paperback),Harper Lee,4.27,5025551,1960,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690l/2657._SY75_.jpg,fiction
40961427-1984,1984 (Kindle Edition),George Orwell,4.19,3610064,1949,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506l/40961427._SX50_.jpg,fiction
4671.The_Great_Gatsby,The Great Gatsby (Paperback),F. Scott Fitzgerald,3.93,4217232,1925,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490528560l/4671._SY75_.jpg,fiction
170448.Animal_Farm,Animal Farm (Mass Market Paperback),George Orwell,3.97,3105301,1945,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570l/170448._SY75_.jpg,fiction
3.Harry_Potter_and_the_Sorcerer_s_Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,8031493,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022l/3._SY75_.jpg,fiction
5107.The_Catcher_in_the_Rye,The Catcher in the Rye (Paperback),J.D. Salinger,3.81,2996449,1951,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300l/5107._SY75_.jpg,fiction
2767052-the-hunger-game,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.32,7056777,2008,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052._SY75_.jpg,fiction
968.The_Da_Vinci_Code,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.88,2095485,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579621267l/968._SY75_.jpg,fiction
38447.The_Handmaid_s_Tale,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.12,1659824,1985,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274l/38447._SY75_.jpg,fiction
77203.The_Kite_Runner,The Kite Runner (Paperback),Khaled Hosseini,4.32,2665252,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579036753l/77203._SY75_.jpg,fiction
18144590-the-alchemist,The Alchemist (Paperback),Paulo Coelho,3.89,2401370,1988,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466865542l/18144590._SY75_.jpg,fiction
1885.Pride_and_Prejudice,Pride and Prejudice (Paperback),Jane Austen,4.27,3407303,1813,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351l/1885._SY75_.jpg,fiction
7624.Lord_of_the_Flie,Lord of the Flies (Paperback),William Golding,3.69,2485089,1954,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409l/7624._SY75_.jpg,fiction
15881.Harry_Potter_and_the_Chamber_of_Secret,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,3099463,1998,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474169725l/15881._SY75_.jpg,fiction
5.Harry_Potter_and_the_Prisoner_of_Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.57,3236668,1999,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630547330l/5._SY75_.jpg,fiction
5907.The_Hobbit_or_There_and_Back_Again,"The Hobbit, or There and Back Again (Paperback)",J.R.R. Tolkien,4.28,3219361,1937,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546071216l/5907._SY75_.jpg,fiction
6.Harry_Potter_and_the_Goblet_of_Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.56,2915728,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554006152l/6._SX50_.jpg,fiction
13079982-fahrenheit-451,Fahrenheit 451 (Kindle Edition),Ray Bradbury,3.98,1919505,1953,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290l/13079982._SY75_.jpg,fiction
1.Harry_Potter_and_the_Half_Blood_Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.57,2721775,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587697303l/1._SX50_.jpg,fiction
136251.Harry_Potter_and_the_Deathly_Hall,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.61,3119361,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474171184l/136251._SY75_.jpg,fiction
2.Harry_Potter_and_the_Order_of_the_Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,2808138,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265l/2._SX50_.jpg,fiction
5129.Brave_New_World,Brave New World (Paperback),Aldous Huxley,3.99,1589855,1932,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575509280l/5129._SY75_.jpg,fiction
19063.The_Book_Thief,The Book Thief (Hardcover),Markus Zusak,4.38,2072156,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426l/19063._SY75_.jpg,fiction
6148028-catching-fire,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.3,2840171,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722941l/6148028._SY75_.jpg,fiction
2429135.The_Girl_with_the_Dragon_Tatt,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.15,2837549,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868566l/2429135._SX50_.jpg,fiction
4214.Life_of_Pi,Life of Pi (Paperback),Yann Martel,3.92,1443864,2001,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631251689l/4214._SY75_.jpg,fiction
890.Of_Mice_and_Men,Of Mice and Men (Paperback),John Steinbeck,3.88,2130214,1937,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904l/890._SX50_.jpg,fiction
1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,The Curious Incident of the Dog in the Night-Time (Paperback),Mark Haddon,3.89,1307366,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479863624l/1618._SY75_.jpg,fiction
7260188-mockingjay,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.05,2623147,2010,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722918l/7260188._SY75_.jpg,fiction
4981.Slaughterhouse_Five,Slaughterhouse-Five (Paperback),Kurt Vonnegut Jr.,4.08,1218070,1969,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1606208827l/4981._SY75_.jpg,fiction
4667024-the-help,The Help (Hardcover),Kathryn Stockett,4.46,2364565,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1622355533l/4667024._SY75_.jpg,fiction
19288043-gone-girl,Gone Girl (Paperback),Gillian Flynn,4.09,2583672,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554086139l/19288043._SY75_.jpg,fiction
960.Angels_Demon,"Angels & Demons (Robert Langdon, #1)",Dan Brown,3.92,2883291,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630637257l/960._SX50_.jpg,fiction
10210.Jane_Eyre,Jane Eyre (Paperback),Charlotte Brontë,4.13,1785791,1847,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311l/10210._SY75_.jpg,fiction
11870085-the-fault-in-our-star,The Fault in Our Stars (Hardcover),John Green,4.18,4066408,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632632557l/11870085._SX50_.jpg,fiction
18143977-all-the-light-we-cannot-see,All the Light We Cannot See (Hardcover),Anthony Doerr,4.32,1211394,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451445646l/18143977._SY75_.jpg,fiction
386162.The_Hitchhiker_s_Guide_to_the_Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,1589862,1979,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152l/386162._SX50_.jpg,fiction
5297.The_Picture_of_Dorian_Gray,The Picture of Dorian Gray (Paperback),Oscar Wilde,4.1,1122809,1890,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428l/5297._SY75_.jpg,fiction
320.One_Hundred_Years_of_Solitude,One Hundred Years of Solitude (Mass Market Paperback),Gabriel García Márquez,4.09,826991,1967,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327881361l/320._SX50_.jpg,fiction
13496.A_Game_of_Throne,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,2171117,1996,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234l/13496._SY75_.jpg,fiction
6288.The_Road,The Road (Hardcover),Cormac McCarthy,3.97,783397,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600241424l/6288._SY75_.jpg,fiction
929.Memoirs_of_a_Geisha,Memoirs of a Geisha (Mass Market Paperback),Arthur Golden,4.13,1822262,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409595968l/929._SY75_.jpg,fiction
35031085-frankenstein,Frankenstein: The 1818 Text (Paperback),Mary Wollstonecraft Shelley,3.83,1293023,1818,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631088473l/35031085._SY75_.jpg,fiction
22557272-the-girl-on-the-train,The Girl on the Train (Hardcover),Paula Hawkins,3.94,2397604,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574805682l/22557272._SX50_.jpg,fiction
3263607-the-fellowship-of-the-ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.37,2522582,1954,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486871542l/3263607._SY75_.jpg,fiction
168668.Catch_22,Catch-22 (Paperback),Joseph Heller,3.98,767743,1961,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317l/168668._SY75_.jpg,fiction
12232938-the-lovely-bone,The Lovely Bones (Mass Market Paperback),Alice Sebold,3.83,2148822,2002,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457810586l/12232938._SY75_.jpg,fiction
18619684-the-time-traveler-s-wife,The Time Traveler's Wife (ebook),Audrey Niffenegger,3.98,1662258,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380660571l/18619684._SX50_.jpg,fiction
43641.Water_for_Elephant,Water for Elephants (Paperback),Sara Gruen,4.09,1471665,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494428973l/43641._SY75_.jpg,fiction
6185.Wuthering_Height,Wuthering Heights (Paperback),Emily Brontë,3.87,1491123,1847,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630501681l/6185._SY75_.jpg,fiction
128029.A_Thousand_Splendid_Sun,A Thousand Splendid Suns (Hardcover),Khaled Hosseini,4.39,1276327,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345958969l/128029._SY75_.jpg,fiction
3636.The_Giver,"The Giver (The Giver, #1)",Lois Lowry,4.13,2010989,1993,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342493368l/3636._SY75_.jpg,fiction
2956.The_Adventures_of_Huckleberry_Finn,The Adventures of Huckleberry Finn (Paperback),Mark Twain,3.82,1200155,1884,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546096879l/2956._SX50_.jpg,fiction
2165.The_Old_Man_and_the_Sea,The Old Man and the Sea (Hardcover),Ernest Hemingway,3.79,933375,1952,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630572642l/2165._SY75_.jpg,fiction
36809135-where-the-crawdads-sing,Where the Crawdads Sing (ebook),Delia Owens,4.46,1465462,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582135294l/36809135._SY75_.jpg,fiction
49552.The_Stranger,The Stranger (Paperback),Albert Camus,3.99,812641,1942,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590930002l/49552._SY75_.jpg,fiction
30165203-american-god,"American Gods (American Gods, #1)",Neil Gaiman,4.1,827585,2001,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462924585l/30165203._SY75_.jpg,fiction
51704136-little-fires-everywhere,Little Fires Everywhere (Paperback),Celeste Ng,4.09,901098,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582774355l/51704136._SY75_.jpg,fiction
18007564-the-martian,The Martian (Hardcover),Andy Weir,4.4,925111,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413706054l/18007564._SY75_.jpg,fiction
7144.Crime_and_Punishment,Crime and Punishment (Paperback),Fyodor Dostoevsky,4.23,714625,1866,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449l/7144._SY75_.jpg,fiction
7604.Lolita,Lolita (Paperback),Vladimir Nabokov,3.88,723736,1955,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377756377l/7604._SY75_.jpg,fiction
1934.Little_Women,Little Women (Paperback),Louisa May Alcott,4.11,1854566,1869,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475l/1934._SY75_.jpg,fiction
17333223-the-goldfinc,The Goldfinch (Hardcover),Donna Tartt,3.92,798010,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378710146l/17333223._SY75_.jpg,fiction
18774964-a-man-called-ove,A Man Called Ove (Hardcover),Fredrik Backman,4.35,702956,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405259930l/18774964._SY75_.jpg,fiction
157993.The_Little_Prince,The Little Prince (Paperback),Antoine de Saint-Exupéry,4.31,1615998,1943,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443l/157993._SY75_.jpg,fiction
31434883-eleanor-oliphant-is-completely-fine,Eleanor Oliphant Is Completely Fine (Hardcover),Gail Honeyman,4.26,908574,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493724347l/31434883._SY75_.jpg,fiction
44767458-dune,"Dune (Dune, #1)",Frank Herbert,4.24,968072,1965,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555447414l/44767458._SY75_.jpg,fiction
