Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
472331.Watchmen,Watchmen (Paperback),Alan Moore,4.37,512788,1987,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442239711l/472331._SY75_.jpg,graphic_novels
15704307-saga-vol-1,"Saga, Vol. 1 (Paperback)",Brian K. Vaughan,4.17,287747,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486028947l/15704307._SY75_.jpg,graphic_novels
25179.Blanket,Blankets (Paperback),Craig Thompson,4.03,106497,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460925949l/25179._SX50_.jpg,graphic_novels
40490167-mau,"Maus: Un survivant raconte, tome 1: Mon père saigne l'histoire (Maus, #1)",Art Spiegelman,4.33,274708,1986,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528405439l/40490167._SY75_.jpg,graphic_novels
9516.Persepoli,"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,4.23,179457,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1425871473l/9516._SX50_.jpg,graphic_novels
23754.Preludes_Nocturne,"Preludes & Nocturnes (The Sandman, #1)",Neil Gaiman,4.22,234269,1991,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411609637l/23754._SY75_.jpg,graphic_novels
19351043-nimona,Nimona (Kindle Edition),Noelle Stevenson,4.12,130557,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412626919l/19351043._SX50_SY75_.jpg,graphic_novels
26135825-fun-home,Fun Home: A Family Tragicomic (Paperback),Alison Bechdel,4.05,155589,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440097020l/26135825._SY75_.jpg,graphic_novels
5805.V_for_Vendetta,V for Vendetta (Hardcover),Alan Moore,4.25,287058,1990,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1343668985l/5805._SY75_.jpg,graphic_novels
17131869-saga-vol-2,"Saga, Vol. 2 (Paperback)",Brian K. Vaughan,4.5,100450,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486028954l/17131869._SY75_.jpg,graphic_novels
