Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
19063.The_Book_Thief,The Book Thief (Hardcover),Markus Zusak,4.38,2072156,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426l/19063._SY75_.jpg,historical_fiction
18143977-all-the-light-we-cannot-see,All the Light We Cannot See (Hardcover),Anthony Doerr,4.32,1211394,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451445646l/18143977._SY75_.jpg,historical_fiction
10964.Outlander,"Outlander (Outlander, #1)",Diana Gabaldon,4.23,914070,1991,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529065012l/10964._SY75_.jpg,historical_fiction
39832183-the-guernsey-literary-and-potato-peel-pie-society,The Guernsey Literary and Potato Peel Pie Society (Paperback),Mary Ann Shaffer,4.17,671654,2008,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529026760l/39832183._SY75_.jpg,historical_fiction
21853621-the-nightingale,The Nightingale (Hardcover),Kristin Hannah,4.57,869532,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598993363l/21853621._SY75_.jpg,historical_fiction
4667024-the-help,The Help (Hardcover),Kathryn Stockett,4.46,2364565,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1622355533l/4667024._SY75_.jpg,historical_fiction
5043.The_Pillars_of_the_Eart,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.32,695313,1989,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576956100l/5043._SY75_.jpg,historical_fiction
11925514-code-name-verity,Code Name Verity (Paperback),Elizabeth Wein,4.0,110495,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388161911l/11925514._SY75_.jpg,historical_fiction
34066798-a-gentleman-in-mosc,A Gentleman in Moscow (Paperback),Amor Towles,4.32,382383,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551480896l/34066798._SY75_.jpg,historical_fiction
6101138-wolf-hall,Wolf Hall (Thomas Cromwell #1),Hilary Mantel,3.87,191028,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627203575l/6101138._SY75_.jpg,historical_fiction
929.Memoirs_of_a_Geisha,Memoirs of a Geisha (Mass Market Paperback),Arthur Golden,4.13,1822262,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409595968l/929._SY75_.jpg,historical_fiction
4989.The_Red_Tent,The Red Tent (Hardcover),Anita Diamant,4.18,550112,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405739117l/4989._SY75_.jpg,historical_fiction
30555488-the-underground-railroad,The Underground Railroad (Hardcover),Colson Whitehead,4.04,342837,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493178362l/30555488._SX50_.jpg,historical_fiction
18079776-the-invention-of-wing,The Invention of Wings (Hardcover),Sue Monk Kidd,4.23,288610,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386699861l/18079776._SY75_.jpg,historical_fiction
7824322-between-shades-of-gray,Between Shades of Gray (Hardcover),Ruta Sepetys,4.34,194114,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873479l/7824322._SX50_.jpg,historical_fiction
18405.Gone_with_the_Wind,Gone with the Wind (Mass Market Paperback),Margaret Mitchell,4.3,1135744,1936,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577l/18405._SY75_.jpg,historical_fiction
25614492-salt-to-the-sea,Salt to the Sea (Hardcover),Ruta Sepetys,4.33,154695,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437084512l/25614492._SY75_.jpg,historical_fiction
40873273-snow-flower-and-the-secret-fan,Snow Flower and the Secret Fan (Kindle Edition),Lisa See,4.07,356756,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532005164l/40873273._SY75_.jpg,historical_fiction
39999.The_Boy_in_the_Striped_Pajama,The Boy in the Striped Pajamas (Hardcover),John Boyne,4.15,622030,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366228171l/39999._SY75_.jpg,historical_fiction
37470.The_Other_Boleyn_Girl,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.07,476242,2001,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355932638l/37470._SY75_.jpg,historical_fiction
13623848-the-song-of-achille,The Song of Achilles (Paperback),Madeline Miller,4.41,555818,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357177533l/13623848._SY75_.jpg,historical_fiction
8683812-the-paris-wife,The Paris Wife (Hardcover),Paula McLain,3.81,285594,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320545874l/8683812._SX50_.jpg,historical_fiction
34051011-pachin,Pachinko (Kindle Edition),Min Jin Lee,4.28,283987,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529845599l/34051011._SY75_.jpg,historical_fiction
1971304.City_of_Thieve,City of Thieves (Hardcover),David Benioff,4.24,135228,2008,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392015757l/1971304._SY75_.jpg,historical_fiction
3367956-hotel-on-the-corner-of-bitter-and-sweet,Hotel on the Corner of Bitter and Sweet (Hardcover),Jamie Ford,4.01,280613,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348332221l/3367956._SX50_.jpg,historical_fiction
20912424-the-war-that-saved-my-life,"The War That Saved My Life (The War That Saved My Life, #1)",Kimberly Brubaker Bradley,4.46,77934,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453342842l/20912424._SY75_.jpg,historical_fiction
47281.Number_the_Star,Number the Stars (Mass Market Paperback),Lois Lowry,4.15,497336,1989,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630542426l/47281._SX50_.jpg,historical_fiction
16180.The_Boleyn_Inheritance,"The Boleyn Inheritance (The Plantagenet and Tudor Novels, #10)",Philippa Gregory,3.88,86774,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409318443l/16180._SX50_.jpg,historical_fiction
