Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
23692271-sapien,Sapiens: A Brief History of Humankind (Paperback),Yuval Noah Harari,4.39,695663,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1595674533l/23692271._SY75_.jpg,history
1842.Guns_Germs_and_Steel,"Guns, Germs, and Steel: The Fates of Human Societies (Paperback)",Jared Diamond,4.03,348793,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453215833l/1842._SY75_.jpg,history
2767.A_People_s_History_of_the_United_State,A People's History of the United States (Paperback),Howard Zinn,4.06,218366,1980,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494279423l/2767._SY75_.jpg,history
397483.The_Devil_in_the_White_City,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America (Hardcover)",Erik Larson,3.98,590002,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583433024l/397483._SY75_.jpg,history
48855.The_Diary_of_a_Young_Girl,The Diary of a Young Girl (Mass Market Paperback),Anne Frank,4.17,3097187,1947,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560816565l/48855._SY75_.jpg,history
1067.1776,1776 (Paperback),David McCullough,4.05,210986,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306787560l/1067._SY75_.jpg,history
21.A_Short_History_of_Nearly_Everything,A Short History of Nearly Everything (Paperback),Bill Bryson,4.18,341604,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433086293l/21._SY75_.jpg,history
767171.The_Rise_and_Fall_of_the_Third_Reic,The Rise and Fall of the Third Reich: A History of Nazi Germany (Mass Market Paperback),William L. Shirer,4.15,117098,1960,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331223772l/767171._SY75_.jpg,history
39020.1491,1491: New Revelations of the Americas Before Columbus (Paperback),Charles C. Mann,4.0,77666,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545238592l/39020._SY75_.jpg,history
1617.Night,"Night  (The Night Trilogy, #1)",Elie Wiesel,4.34,1063013,1956,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575073611l/1617._SY75_.jpg,history
2199.Team_of_Rival,Team of Rivals: The Political Genius of Abraham Lincoln (Paperback),Doris Kearns Goodwin,4.22,178242,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1160801826l/2199._SY75_.jpg,history
