Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
11588.The_Shining,The Shining (Paperback),Stephen King,4.24,1251556,1977,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353277730l/11588._SY75_.jpg,horror
830502.It,It (Paperback),Stephen King,4.24,907078,1986,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334416842l/830502._SY75_.jpg,horror
17245.Dracula,Dracula (Paperback),Bram Stoker,4.0,1048956,1897,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694l/17245._SY75_.jpg,horror
10592.Carrie,Carrie (Mass Market Paperback),Stephen King,3.97,582199,1974,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1166254258l/10592._SY75_.jpg,horror
33124137-pet-sematary,Pet Sematary (Kindle Edition),Stephen King,4.02,476032,1983,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480069533l/33124137._SY75_.jpg,horror
35031085-frankenstein,Frankenstein: The 1818 Text (Paperback),Mary Wollstonecraft Shelley,3.83,1293023,1818,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631088473l/35031085._SY75_.jpg,horror
11590._Salem_s_Lot,'Salem's Lot (Paperback),Stephen King,4.04,370146,1975,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327891565l/11590._SY75_.jpg,horror
89717.The_Haunting_of_Hill_House,The Haunting of Hill House (Paperback),Shirley Jackson,3.83,205005,1959,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327871336l/89717._SY75_.jpg,horror
149267.The_Stand,The Stand (Hardcover),Stephen King,4.33,680025,1978,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1213131305l/149267._SX50_.jpg,horror
10614.Misery,Misery (Paperback),Stephen King,4.18,569672,1987,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554220401l/10614._SY75_.jpg,horror
8908.World_War_Z,World War Z: An Oral History of the Zombie War (Hardcover),Max Brooks,4.01,479353,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528312647l/8908._SX50_.jpg,horror
43763.Interview_with_the_Vampire,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.0,522463,1976,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380631642l/43763._SY75_.jpg,horror
