Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
386162.The_Hitchhiker_s_Guide_to_the_Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,1589862,1979,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152l/386162._SX50_.jpg,humour-and-comedy
12067.Good_Omen,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",Terry Pratchett,4.23,615003,1990,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615552073l/12067._SY75_.jpg,humour-and-comedy
227443.Bridget_Jones_s_Diary,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,3.79,916063,1996,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558869586l/227443._SY75_.jpg,humour-and-comedy
21787.The_Princess_Bride,The Princess Bride (Paperback),William Goldman,4.25,834851,1973,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327903636l/21787._SY75_.jpg,humour-and-comedy
18007564-the-martian,The Martian (Hardcover),Andy Weir,4.4,925111,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413706054l/18007564._SY75_.jpg,humour-and-comedy
38348476-calyp,Calypso (Kindle Edition),David Sedaris,4.08,110415,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1624745123l/38348476._SY75_.jpg,humour-and-comedy
34497.The_Color_of_Magic,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,3.98,345925,1983,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407111017l/34497._SY75_.jpg,humour-and-comedy
92303.The_Importance_of_Being_Earnest,The Importance of Being Earnest (Paperback),Oscar Wilde,4.17,326320,1895,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298438452l/92303._SY75_.jpg,humour-and-comedy
5899779-pride-and-prejudice-and-zombie,"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",Seth Grahame-Smith,3.31,136439,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320449653l/5899779._SY75_.jpg,humour-and-comedy
46000520-the-thursday-murder-clu,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,3.96,143515,2020,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582287822l/46000520._SY75_.jpg,humour-and-comedy
29868610-scrappy-little-nobody,Scrappy Little Nobody (Hardcover),Anna Kendrick,3.85,89316,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469410391l/29868610._SY75_.jpg,humour-and-comedy
359.The_Salmon_of_Doubt,"The Salmon of Doubt (Dirk Gently, #3)",Douglas Adams,3.91,28340,2002,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388273676l/359._SY75_.jpg,humour-and-comedy
6359434-and-another-thing,"And Another Thing... (Hitchhiker's Guide to the Galaxy, #6)",Eoin Colfer,3.58,31704,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327908458l/6359434._SY75_.jpg,humour-and-comedy
8695.The_Restaurant_at_the_End_of_the_Universe,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,4.2,254160,1980,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521213881l/8695._SY75_.jpg,humour-and-comedy
16181775-the-rosie-project,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,4.01,494887,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371651741l/16181775._SY75_.jpg,humour-and-comedy
18774964-a-man-called-ove,A Man Called Ove (Hardcover),Fredrik Backman,4.35,702956,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405259930l/18774964._SY75_.jpg,humour-and-comedy
36578942-the-100-year-old-man-who-climbed-out-the-window-and-disappeared,"The 100-Year-Old Man Who Climbed Out the Window and Disappeared (The Hundred-Year-Old Man, #1)",Jonas Jonasson,3.81,242787,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1510447566l/36578942._SY75_.jpg,humour-and-comedy
34506.The_Light_Fantastic,"The Light Fantastic (Discworld, #2; Rincewind #2)",Terry Pratchett,3.96,139140,1986,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389554927l/34506._SY75_.jpg,humour-and-comedy
