Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
16299.And_Then_There_Were_None,And Then There Were None (Paperback),Agatha Christie,4.26,996517,1939,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391120695l/16299._SY75_.jpg,mystery
853510.Murder_on_the_Orient_Expre,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.18,460255,1934,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486131451l/853510._SY75_.jpg,mystery
2429135.The_Girl_with_the_Dragon_Tatt,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.15,2837556,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868566l/2429135._SX50_.jpg,mystery
19288043-gone-girl,Gone Girl (Paperback),Gillian Flynn,4.09,2583682,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554086139l/19288043._SY75_.jpg,mystery
22557272-the-girl-on-the-train,The Girl on the Train (Hardcover),Paula Hawkins,3.94,2397617,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574805682l/22557272._SX50_.jpg,mystery
968.The_Da_Vinci_Code,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.88,2095485,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579621267l/968._SY75_.jpg,mystery
16160797-the-cuckoo-s-calling,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,3.87,526396,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540217136l/16160797._SY75_.jpg,mystery
960.Angels_Demon,"Angels & Demons (Robert Langdon, #1)",Dan Brown,3.92,2883297,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630637257l/960._SX50_.jpg,mystery
52843028-the-mysterious-affair-at-style,"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,3.98,312252,1920,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585632445l/52843028._SY75_.jpg,mystery
2459785.In_the_Wood,"In the Woods (Dublin Murder Squad, #1)",Tana French,3.77,354457,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562761513l/2459785._SY75_.jpg,mystery
5060378-the-girl-who-played-with-fire,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.24,862828,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351778881l/5060378._SX50_.jpg,mystery
102868.A_Study_in_Scarlet,"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,4.14,372535,1887,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519031842l/102868._SX50_.jpg,mystery
16328.The_Murder_of_Roger_Ackroyd,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,4.24,192934,1926,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389734015l/16328._SY75_.jpg,mystery
40605285-the-sweetness-at-the-bottom-of-the-pie,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",Alan Bradley,3.82,161662,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529610868l/40605285._SY75_.jpg,mystery
58679358-one-of-us-is-lying,"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,4.03,408273,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632078539l/58679358._SY75_.jpg,mystery
8921.The_Hound_of_the_Baskerville,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.13,290412,1901,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355929358l/8921._SX50_.jpg,mystery
36337550-the-7-deaths-of-evelyn-hardcastle,The 7½ Deaths of Evelyn Hardcastle (Hardcover),Stuart Turton,3.88,205563,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506896221l/36337550._SY75_.jpg,mystery
18045891-sharp-object,Sharp Objects (Paperback),Gillian Flynn,3.99,801769,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1475695315l/18045891._SY75_.jpg,mystery
