Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
48855.The_Diary_of_a_Young_Girl,The Diary of a Young Girl (Mass Market Paperback),Anne Frank,4.17,3097187,1947,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560816565l/48855._SY75_.jpg,nonfiction
6493208-the-immortal-life-of-henrietta-lac,The Immortal Life of Henrietta Lacks (Hardcover),Rebecca Skloot,4.07,648137,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327878144l/6493208._SY75_.jpg,nonfiction
35133922-educated,Educated (Hardcover),Tara Westover,4.46,1055491,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506026635l/35133922._SY75_.jpg,nonfiction
397483.The_Devil_in_the_White_City,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America (Hardcover)",Erik Larson,3.98,590002,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583433024l/397483._SY75_.jpg,nonfiction
8520610-quiet,Quiet: The Power of Introverts in a World That Can't Stop Talking (Hardcover),Susan Cain,4.05,372314,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328562861l/8520610._SY75_.jpg,nonfiction
25489625-between-the-world-and-me,Between the World and Me (Hardcover),Ta-Nehisi Coates,4.37,291334,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451435027l/25489625._SY75_.jpg,nonfiction
1617.Night,"Night  (The Night Trilogy, #1)",Elie Wiesel,4.34,1063013,1956,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575073611l/1617._SY75_.jpg,nonfiction
38746485-becoming,Becoming (Hardcover),Michelle Obama,4.5,769186,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528206996l/38746485._SY75_.jpg,nonfiction
23692271-sapien,Sapiens: A Brief History of Humankind (Paperback),Yuval Noah Harari,4.39,695663,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1595674533l/23692271._SY75_.jpg,nonfiction
1202.Freakonomic,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Hardcover),Steven D. Levitt,3.99,774463,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550917827l/1202._SX50_.jpg,nonfiction
3228917-outlier,Outliers: The Story of Success (Hardcover),Malcolm Gladwell,4.17,648658,2008,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344266315l/3228917._SX50_.jpg,nonfiction
9418327-bossypant,Bossypants (Kindle Edition),Tina Fey,3.95,919545,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481509554l/9418327._SY75_.jpg,nonfiction
