Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
23513349-milk-and-honey,Milk and Honey (Paperback),Rupi Kaur,4.03,460163,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491595510l/23513349._SY75_.jpg,poetry
30119.Where_the_Sidewalk_End,Where the Sidewalk Ends (Hardcover),Shel Silverstein,4.3,1255755,1974,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1168052448l/30119._SX50_.jpg,poetry
35606560-the-sun-and-her-flower,The Sun and Her Flowers (Paperback),Rupi Kaur,4.13,209353,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499791446l/35606560._SY75_.jpg,poetry
30075802-the-princess-saves-herself-in-this-one,"The Princess Saves Herself in This One (Women Are Some Kind of Magic, #1)",Amanda Lovelace,3.84,98477,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1619708912l/30075802._SX50_.jpg,poetry
27494.Leaves_of_Gra,Leaves of Grass (Paperback),Walt Whitman,4.11,93415,1855,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418012204l/27494._SX50_.jpg,poetry
395090.Ariel,Ariel (Paperback),Sylvia Plath,4.2,61584,1965,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442258738l/395090._SY75_.jpg,poetry
30118.A_Light_in_the_Attic,A Light in the Attic (Hardcover),Shel Silverstein,4.33,405384,1981,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427169918l/30118._SX50_.jpg,poetry
112204.The_Complete_Poems_of_Emily_Dickinson,The Complete Poems of Emily Dickinson (Paperback),Emily Dickinson,4.23,88724,1890,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549999503l/112204._SY75_.jpg,poetry
6295.Howl_and_Other_Poem,Howl and Other Poems (Hardcover),Allen Ginsberg,4.12,100572,1956,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327870926l/6295._SX50_.jpg,poetry
1381.The_Odyssey,The Odyssey (Paperback),Homer,3.78,929789,-800,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390173285l/1381._SY75_.jpg,poetry
33294200-the-poet-x,The Poet X (Kindle Edition),Elizabeth Acevedo,4.37,94819,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498766234l/33294200._SY75_.jpg,poetry
52357.Beowulf,Beowulf (Paperback),Unknown,3.46,263880,900,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327878125l/52357._SY75_.jpg,poetry
15997.Paradise_Lost,Paradise Lost (Paperback),John Milton,3.81,151899,1667,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1526070678l/15997._SY75_.jpg,poetry
5932.Twenty_Love_Poems_and_a_Song_of_Despair,Twenty Love Poems and a Song of Despair (Paperback),Pablo Neruda,4.24,57879,1924,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447622711l/5932._SY75_.jpg,poetry
42038.Shakespeare_s_Sonnet,Shakespeare's Sonnets (Paperback),William Shakespeare,4.24,92414,1609,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431229752l/42038._SY75_.jpg,poetry
23841432-night-sky-with-exit-wound,Night Sky with Exit Wounds (Paperback),Ocean Vuong,4.21,19842,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450971013l/23841432._SX50_.jpg,poetry
35924698-the-witch-doesn-t-burn-in-this-one,"The Witch Doesn't Burn in This One (Women Are Some Kind of Magic, #2)",Amanda Lovelace,3.76,32095,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1502335293l/35924698._SX50_.jpg,poetry
1371.The_Iliad,The Iliad (Paperback),Homer,3.88,384387,-800,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1625333695l/1371._SX50_.jpg,poetry
400412.The_Waste_Land_and_Other_Poem,The Waste Land and Other Poems (Paperback),T.S. Eliot,4.21,57603,1940,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372992691l/400412._SY75_.jpg,poetry
20613761-citizen,Citizen: An American Lyric (Paperback),Claudia Rankine,4.27,39632,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420944502l/20613761._SX50_.jpg,poetry
96259.Cru,Crush (Paperback),Richard Siken,4.28,25421,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1613741198l/96259._SX50_.jpg,poetry
203220.Les_Fleurs_du_Mal,Les Fleurs du Mal (Paperback),Charles Baudelaire,4.22,56854,1857,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388667125l/203220._SY75_.jpg,poetry
2547.The_Prophet,The Prophet (Paperback),Kahlil Gibran,4.21,261179,1923,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355046521l/2547._SY75_.jpg,poetry
23919.The_Complete_Stories_and_Poem,The Complete Stories and Poems (Hardcover),Edgar Allan Poe,4.37,238080,1849,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327942676l/23919._SY75_.jpg,poetry
30120.Falling_Up,Falling Up (Unknown Binding),Shel Silverstein,4.32,139581,1996,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327871908l/30120._SX50_.jpg,poetry
18585282-salt,Salt (Paperback),Nayyirah Waheed,4.26,21520,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380105266l/18585282._SY75_.jpg,poetry
95819.The_Poetry_of_Robert_Frost,The Poetry of Robert Frost (Paperback),Robert Frost,4.23,50413,1930,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388204422l/95819._SY75_.jpg,poetry
34080.The_Waste_Land,The Waste Land (Paperback),T.S. Eliot,4.09,47341,1922,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597549396l/34080._SY75_.jpg,poetry
