Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
14743.The_God_Delusion,The God Delusion (Hardcover),Richard Dawkins,3.89,254252,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347220693l/14743._SY75_.jpg,religion
40792344-mere-christianity,Mere Christianity (Kindle Edition),C.S. Lewis,4.32,338908,1942,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531409863l/40792344._SX50_.jpg,religion
43369.God_Is_Not_Great,God Is Not Great: How Religion Poisons Everything (Hardcover),Christopher Hitchens,3.93,101901,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411218313l/43369._SY75_.jpg,religion
8130077-the-screwtape-letter,The Screwtape Letters (Kindle Edition),C.S. Lewis,4.23,369632,1942,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476379778l/8130077._SY75_.jpg,religion
3873.A_History_of_God,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam (Hardcover)",Karen Armstrong,3.86,47192,1993,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924363l/3873._SX50_.jpg,religion
1923820.The_Holy_Bible,The Holy Bible: King James Version (Hardcover),Anonymous,4.4,243134,1611,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631816305l/1923820._SY75_.jpg,religion
646462._,القرآن الكريم (Hardcover),Anonymous,4.36,61268,632,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1275263838l/646462._SY75_.jpg,religion
17568801-zealot,Zealot: The Life and Times of Jesus of Nazareth (Hardcover),Reza Aslan,3.82,68885,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367929567l/17568801._SY75_.jpg,religion
10847.Under_the_Banner_of_Heaven,Under the Banner of Heaven: A Story of Violent Faith (Paperback),Jon Krakauer,3.98,174232,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356441391l/10847._SY75_.jpg,religion
52036.Siddhartha,Siddhartha (Mass Market Paperback),Hermann Hesse,4.04,647240,1922,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629378189l/52036._SY75_.jpg,religion
67896.Tao_Te_Ching,Tao Te Ching (Paperback),Lao Tzu,4.26,136390,-600,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333578861l/67896._SY75_.jpg,religion
99944.The_Bhagavad_Gita,The Bhagavad Gita (Paperback),Krishna-Dwaipayana Vyasa,4.14,60360,-400,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631634958l/99944._SX50_.jpg,religion
27037.Confession,Confessions (Paperback),Augustine of Hippo,3.89,57610,400,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266454051l/27037._SY75_.jpg,religion
51364.Misquoting_Jesu,Misquoting Jesus: The Story Behind Who Changed the Bible and Why (Paperback),Bart D. Ehrman,3.87,17133,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407109431l/51364._SY75_.jpg,religion
