Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
1885.Pride_and_Prejudice,Pride and Prejudice (Paperback),Jane Austen,4.27,3407303,1813,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351l/1885._SY75_.jpg,romance
41865.Twilight,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.62,5491541,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039443l/41865._SY75_.jpg,romance
11870085-the-fault-in-our-star,The Fault in Our Stars (Hardcover),John Green,4.18,4066435,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632632557l/11870085._SX50_.jpg,romance
41150487-red-white-royal-blue,"Red, White & Royal Blue (Paperback)",Casey McQuiston,4.22,391777,2019,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566742512l/41150487._SY75_.jpg,romance
25883848-the-hating-game,The Hating Game (ebook),Sally  Thorne,4.09,307813,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1467138679l/25883848._SY75_.jpg,romance
10818853-fifty-shades-of-grey,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.66,2168962,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385207843l/10818853._SX50_.jpg,romance
36199084-the-kiss-quotient,"The Kiss Quotient (The Kiss Quotient, #1)",Helen Hoang,3.92,222083,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527983633l/36199084._SX50_.jpg,romance
49041.New_Moon,"New Moon (The Twilight Saga, #2)",Stephenie Meyer,3.56,1628787,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630592760l/49041._SX50_.jpg,romance
17347634-me-before-you,"Me Before You (Me Before You, #1)",Jojo Moyes,4.25,1315174,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631688766l/17347634._SX50_.jpg,romance
10964.Outlander,"Outlander (Outlander, #1)",Diana Gabaldon,4.23,914074,1991,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529065012l/10964._SY75_.jpg,romance
15745753-eleanor-par,Eleanor & Park (Hardcover),Rainbow Rowell,4.0,987081,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341952742l/15745753._SX50_.jpg,romance
52867387-beach-read,Beach Read (Paperback),Emily Henry,4.05,294860,2020,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589881197l/52867387._SX50_.jpg,romance
1162543.Breaking_Dawn,"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.71,1460751,2008,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039438l/1162543._SY75_.jpg,romance
10507293-the-selection,"The Selection (The Selection, #1)",Kiera Cass,4.11,1138054,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322103400l/10507293._SY75_.jpg,romance
33648131-the-note,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.12,1445068,1996,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483183484l/33648131._SY75_.jpg,romance
42201431-the-unhoneymooner,The Unhoneymooners (Paperback),Christina Lauren,4.02,274224,2019,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548201335l/42201431._SY75_.jpg,romance
10210.Jane_Eyre,Jane Eyre (Paperback),Charlotte Brontë,4.13,1785791,1847,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311l/10210._SY75_.jpg,romance
11857408-fifty-shades-darker,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.83,806498,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631260114l/11857408._SY75_.jpg,romance
110391.The_Duke_and_I,"The Duke and I (Bridgertons, #1)",Julia Quinn,3.85,241016,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379594717l/110391._SY75_.jpg,romance
16096824-a-court-of-thorns-and-rose,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.18,785682,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546406962l/16096824._SY75_.jpg,romance
15749186-to-all-the-boys-i-ve-loved-before,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,4.1,632519,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372086100l/15749186._SY75_.jpg,romance
27362503-it-ends-with-u,It Ends with Us (Kindle Edition),Colleen Hoover,4.43,518142,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470427482l/27362503._SY75_.jpg,romance
6936382-anna-and-the-french-ki,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,4.0,405506,2010,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358271931l/6936382._SY75_.jpg,romance
18619684-the-time-traveler-s-wife,The Time Traveler's Wife (ebook),Audrey Niffenegger,3.98,1662260,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380660571l/18619684._SX50_.jpg,romance
11505797-beautiful-disaster,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.06,603819,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358259032l/11505797._SY75_.jpg,romance
11505797-beautiful-disaster,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.06,603819,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358259032l/11505797._SY75_.jpg,romance
43884209-get-a-life-chloe-brown,"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,3.87,97387,2019,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1614273529l/43884209._SY75_.jpg,romance
13536860-fifty-shades-freed,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.84,769782,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336418837l/13536860._SY75_.jpg,romance
18135.Romeo_and_Juliet,Romeo and Juliet (Mass Market Paperback),William Shakespeare,3.75,2234002,1597,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630631323l/18135._SY75_.jpg,romance
16068905-fangirl,Fangirl (Kindle Edition),Rainbow Rowell,4.0,659702,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355886270l/16068905._SX50_.jpg,romance
35545737-a-walk-to-remember,A Walk to Remember (Kindle Edition),Nicholas Sparks,4.18,726676,1999,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498755310l/35545737._SY75_.jpg,romance
