Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
375802.Ender_s_Game,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,4.3,1229771,1985,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130l/375802._SY75_.jpg,science-fiction
386162.The_Hitchhiker_s_Guide_to_the_Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,1589870,1979,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152l/386162._SX50_.jpg,science-fiction
18007564-the-martian,The Martian (Hardcover),Andy Weir,4.4,925111,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413706054l/18007564._SY75_.jpg,science-fiction
9969571-ready-player-one,"Ready Player One (Ready Player One, #1)",Ernest Cline,4.24,988269,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500930947l/9969571._SY75_.jpg,science-fiction
13079982-fahrenheit-451,Fahrenheit 451 (Kindle Edition),Ray Bradbury,3.98,1919514,1953,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290l/13079982._SY75_.jpg,science-fiction
2767052-the-hunger-game,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.32,7056808,2008,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052._SY75_.jpg,science-fiction
40961427-1984,1984 (Kindle Edition),George Orwell,4.19,3610064,1949,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506l/40961427._SX50_.jpg,science-fiction
5129.Brave_New_World,Brave New World (Paperback),Aldous Huxley,3.99,1589860,1932,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575509280l/5129._SY75_.jpg,science-fiction
29579.Foundation,"Foundation (Foundation, #1)",Isaac Asimov,4.17,457733,1951,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417900846l/29579._SX50_.jpg,science-fiction
36402034-do-androids-dream-of-electric-sheep,Do Androids Dream of Electric Sheep? (Kindle Edition),Philip K. Dick,4.08,387879,1968,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507838927l/36402034._SY75_.jpg,science-fiction
6148028-catching-fire,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.3,2840189,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722941l/6148028._SY75_.jpg,science-fiction
7260188-mockingjay,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.05,2623158,2010,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722918l/7260188._SY75_.jpg,science-fiction
2493.The_Time_Machine,The Time Machine (Paperback),H.G. Wells,3.9,458536,1895,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327942880l/2493._SY75_.jpg,science-fiction
6088007-neuromancer,"Neuromancer (Sprawl, #1)",William Gibson,3.9,284640,1984,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554437249l/6088007._SY75_.jpg,science-fiction
41804.I_Robot,"I, Robot (Robot, #0.1)",Isaac Asimov,4.21,302435,1950,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1609035271l/41804._SY75_.jpg,science-fiction
8855321-leviathan-wake,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,4.25,208109,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411013134l/8855321._SY75_.jpg,science-fiction
13335037-divergent,"Divergent (Divergent, #1)",Veronica Roth,4.17,3275974,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618526890l/13335037._SY75_.jpg,science-fiction
38447.The_Handmaid_s_Tale,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.12,1659830,1985,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274l/38447._SY75_.jpg,science-fiction
40604658-jurassic-par,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.06,855730,1990,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529604411l/40604658._SY75_.jpg,science-fiction
70535.2001,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,4.15,281911,1968,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432468943l/70535._SY75_.jpg,science-fiction
350.Stranger_in_a_Strange_Land,Stranger in a Strange Land (Paperback),Robert A. Heinlein,3.92,290803,1961,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1156897088l/350._SY75_.jpg,science-fiction
8909.The_War_of_the_World,The War of the Worlds (Paperback),H.G. Wells,3.83,269883,1897,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320391644l/8909._SY75_.jpg,science-fiction
8695.The_Restaurant_at_the_End_of_the_Universe,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,4.2,254160,1980,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521213881l/8695._SY75_.jpg,science-fiction
36381037-cinder,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13,785696,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507557775l/36381037._SY75_.jpg,science-fiction
76778.The_Martian_Chronicle,The Martian Chronicles (Paperback),Ray Bradbury,4.15,230358,1950,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374049948l/76778._SY75_.jpg,science-fiction
20518872-the-three-body-problem,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,4.06,196734,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415428227l/20518872._SY75_.jpg,science-fiction
77566.Hyperion,Hyperion (Mass Market Paperback),Dan Simmons,4.23,211874,1989,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405546838l/77566._SY75_.jpg,science-fiction
18423.The_Left_Hand_of_Darkne,"The Left Hand of Darkness (Hainish Cycle, #4)",Ursula K. Le Guin,4.08,139781,1969,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488213612l/18423._SY75_.jpg,science-fiction
4981.Slaughterhouse_Five,Slaughterhouse-Five (Paperback),Kurt Vonnegut Jr.,4.08,1218071,1969,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1606208827l/4981._SY75_.jpg,science-fiction
7967.Speaker_for_the_Dead,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,4.07,236204,1986,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1295660894l/7967._SY75_.jpg,science-fiction
3636.The_Giver,"The Giver (The Giver, #1)",Lois Lowry,4.13,2010989,1993,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342493368l/3636._SY75_.jpg,science-fiction
40651883-snow-cra,Snow Crash (Kindle Edition),Neal Stephenson,4.02,252524,1992,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589842551l/40651883._SX50_.jpg,science-fiction
