Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
28257707-the-subtle-art-of-not-giving-a-f-c,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (ebook),Mark Manson,3.92,706446,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465761302l/28257707._SX50_.jpg,self-help
4865.How_to_Win_Friends_and_Influence_People,How to Win Friends and Influence People (Paperback),Dale Carnegie,4.21,749592,1936,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442726934l/4865._SY75_.jpg,self-help
36072.The_7_Habits_of_Highly_Effective_People,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change (Paperback),Stephen R. Covey,4.13,613695,1988,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421842784l/36072._SY75_.jpg,self-help
40121378-atomic-habit,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones (Kindle Edition),James Clear,4.36,278402,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535115320l/40121378._SY75_.jpg,self-help
12609433-the-power-of-habit,The Power of Habit: Why We Do What We Do in Life and Business (Hardcover),Charles Duhigg,4.11,409847,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545854312l/12609433._SY75_.jpg,self-help
22318578-the-life-changing-magic-of-tidying-up,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing (Hardcover),Marie Kondō,3.85,315499,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418767178l/22318578._SX50_.jpg,self-help
15843166-you-are-a-bada,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life (Paperback),Jen Sincero,3.93,180177,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351539051l/15843166._SX50_.jpg,self-help
6596.The_Four_Agreement,The Four Agreements: A Practical Guide to Personal Freedom (Hardcover),Miguel Ruiz,4.16,261367,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630664059l/6596._SY75_.jpg,self-help
6708.The_Power_of_N,The Power of Now: A Guide to Spiritual Enlightenment (Paperback),Eckhart Tolle,4.13,261177,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925535l/6708._SY75_.jpg,self-help
8520610-quiet,Quiet: The Power of Introverts in a World That Can't Stop Talking (Hardcover),Susan Cain,4.05,372317,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328562861l/8520610._SY75_.jpg,self-help
13588356-daring-greatly,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead (Hardcover)",Brené Brown,4.24,164914,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337110319l/13588356._SY75_.jpg,self-help
7015403-the-gifts-of-imperfection,The Gifts of Imperfection (Paperback),Brené Brown,4.2,143384,2010,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369092544l/7015403._SX50_.jpg,self-help
23878688-the-5-love-language,The 5 Love Languages: The Secret to Love that Lasts (Kindle Edition),Gary Chapman,4.24,344647,1990,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432487272l/23878688._SY75_.jpg,self-help
25744928-deep-wor,Deep Work: Rules for Focused Success in a Distracted World (Hardcover),Cal Newport,4.17,106585,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447957962l/25744928._SY75_.jpg,self-help
