Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
6708.The_Power_of_N,The Power of Now: A Guide to Spiritual Enlightenment (Paperback),Eckhart Tolle,4.13,261177,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925535l/6708._SY75_.jpg,spirituality
18144590-the-alchemist,The Alchemist (Paperback),Paulo Coelho,3.89,2401383,1988,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466865542l/18144590._SY75_.jpg,spirituality
52036.Siddhartha,Siddhartha (Mass Market Paperback),Hermann Hesse,4.04,647240,1922,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629378189l/52036._SY75_.jpg,spirituality
76334.A_New_Eart,A New Earth: Awakening to Your Life's Purpose (Paperback),Eckhart Tolle,4.09,178710,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388206232l/76334._SY75_.jpg,spirituality
6596.The_Four_Agreement,The Four Agreements: A Practical Guide to Personal Freedom (Hardcover),Miguel Ruiz,4.16,261367,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630664059l/6596._SY75_.jpg,spirituality
67896.Tao_Te_Ching,Tao Te Ching (Paperback),Lao Tzu,4.26,136390,-600,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333578861l/67896._SY75_.jpg,spirituality
2547.The_Prophet,The Prophet (Paperback),Kahlil Gibran,4.21,261179,1923,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355046521l/2547._SY75_.jpg,spirituality
1963638.The_Untethered_Soul,The Untethered Soul: The Journey Beyond Yourself (Paperback),Michael A. Singer,4.17,70012,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354898395l/1963638._SX50_.jpg,spirituality
38210.The_Art_of_Happine,The Art of Happiness (Hardcover),Dalai Lama XIV,4.14,105517,1998,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309287434l/38210._SX50_.jpg,spirituality
19501.Eat_Pray_Love,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia (Paperback)",Elizabeth Gilbert,3.59,1587447,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503066414l/19501._SY75_.jpg,spirituality
4069.Man_s_Search_for_Meaning,Man's Search for Meaning (Paperback),Viktor E. Frankl,4.35,508633,1946,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535419394l/4069._SY75_.jpg,spirituality
639864.Autobiography_of_a_Yogi,Autobiography of a Yogi (Paperback),Paramahansa Yogananda,4.18,57215,Null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347427162l/639864._SY75_.jpg,spirituality
99944.The_Bhagavad_Gita,The Bhagavad Gita (Paperback),Krishna-Dwaipayana Vyasa,4.14,60360,-400,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631634958l/99944._SX50_.jpg,spirituality
687278.When_Things_Fall_Apart,When Things Fall Apart: Heart Advice for Difficult Times (Paperback),Pema Chödrön,4.25,45456,1996,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320553046l/687278._SY75_.jpg,spirituality
41580312-be-here-n,Be Here Now (Kindle Edition),Ram Dass,4.27,30986,1971,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535737556l/41580312._SY75_.jpg,spirituality
13103.The_Celestine_Prophecy,"The Celestine Prophecy (Celestine Prophecy, #1)",James Redfield,3.67,104188,1993,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1166542346l/13103._SX50_.jpg,spirituality
402843.Zen_Mind_Beginner_s_Mind,"Zen Mind, Beginner's Mind: Informal Talks on Zen Meditation and Practice (Paperback)",Shunryu Suzuki,4.18,41536,1970,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392992935l/402843._SY75_.jpg,spirituality
40792344-mere-christianity,Mere Christianity (Kindle Edition),C.S. Lewis,4.32,338908,1942,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531409863l/40792344._SX50_.jpg,spirituality
18774981-waking-up,Waking Up: A Guide to Spirituality Without Religion (Hardcover),Sam Harris,3.89,39884,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415677308l/18774981._SY75_.jpg,spirituality
52529.The_Secret,"The Secret (The Secret, #1)",Rhonda Byrne,3.7,398771,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1591728338l/52529._SX50_.jpg,spirituality
14572.Peace_Is_Every_Step,Peace Is Every Step: The Path of Mindfulness in Everyday Life (Paperback),Thich Nhat Hanh,4.26,35035,1990,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320544155l/14572._SY75_.jpg,spirituality
40874325-the-shac,The Shack (Kindle Edition),William Paul Young,3.79,582426,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532013572l/40874325._SY75_.jpg,spirituality
773038.The_Seven_Spiritual_Laws_of_Succe,The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams (Hardcover),Deepak Chopra,4.11,63797,1993,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344718433l/773038._SX50_.jpg,spirituality
14096.Wherever_You_Go_There_You_Are,"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life (Paperback)",Jon Kabat-Zinn,4.09,42244,1994,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440661171l/14096._SX50_.jpg,spirituality
95747.The_Miracle_of_Mindfulne,The Miracle of Mindfulness: An Introduction to the Practice of Meditation (Paperback),Thich Nhat Hanh,4.15,29157,1975,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320448079l/95747._SY75_.jpg,spirituality
48757.The_Tao_of_P,The Tao of Pooh (Paperback),Benjamin Hoff,3.98,111686,1982,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348137748l/48757._SY75_.jpg,spirituality
15015.Conversations_with_God,"Conversations with God: An Uncommon Dialogue, Book 1 (Hardcover)",Neale Donald Walsch,4.16,33996,1995,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327944254l/15015._SX50_.jpg,spirituality
8130077-the-screwtape-letter,The Screwtape Letters (Kindle Edition),C.S. Lewis,4.23,369632,1942,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476379778l/8130077._SY75_.jpg,spirituality
629.Zen_and_the_Art_of_Motorcycle_Maintenance,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.77,219193,1974,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410136019l/629._SY75_.jpg,spirituality
3431.The_Five_People_You_Meet_in_Heaven,The Five People You Meet in Heaven (Paperback),Mitch Albom,3.95,625029,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388200541l/3431._SX50_.jpg,spirituality
71728.Jonathan_Livingston_Seagull,Jonathan Livingston Seagull (Paperback),Richard Bach,3.85,222213,1970,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432222358l/71728._SX50_.jpg,spirituality
173673.A_Course_in_Miracle,A Course in Miracles (Hardcover),Foundation for Inner Peace,4.15,30601,Null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172417770l/173673._SY75_.jpg,spirituality
241823.Women_Who_Run_With_the_Wolve,Women Who Run With the Wolves: Myths and Stories of the Wild Woman Archetype (Mass Market Paperback),Clarissa Pinkola Estés,4.06,61822,1992,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631239978l/241823._SY75_.jpg,spirituality
347852.The_Road_Less_Traveled,"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth (Paperback)",M. Scott Peck,4.05,91345,1978,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322673263l/347852._SY75_.jpg,spirituality
40383078-the-tibetan-book-of-living-and-dying,The Tibetan Book of Living and Dying (Kindle Edition),Sogyal Rinpoche,4.18,27090,1992,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528148534l/40383078._SY75_.jpg,spirituality
615570.The_Artist_s_Way,The Artist's Way: A Spiritual Path to Higher Creativity (Paperback),Julia Cameron,3.91,103466,1992,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440952332l/615570._SX50_.jpg,spirituality
10890.Traveling_Mercie,Traveling Mercies: Some Thoughts on Faith (Paperback),Anne Lamott,4.09,47949,1999,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403182174l/10890._SY75_.jpg,spirituality
845977.A_Return_to_Love,"A Return to Love: Reflections on the Principles of ""A Course in Miracles"" (Paperback)",Marianne Williamson,4.21,31983,1992,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437440428l/845977._SY75_.jpg,spirituality
