Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
1301.Moneyball,Moneyball: The Art of Winning an Unfair Game (Paperback),Michael   Lewis,4.22,117028,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388176510l/1301._SY75_.jpg,sports
24920901-the-deal,"The Deal (Off-Campus, #1)",Elle Kennedy,4.29,258035,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431282052l/24920901._SX50_.jpg,sports
29367958-the-wall-of-winnipeg-and-me,The Wall of Winnipeg and Me (Kindle Edition),Mariana Zapata,4.3,109501,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456774327l/29367958._SY75_.jpg,sports
24044596-kulti,Kulti (Kindle Edition),Mariana Zapata,4.34,60822,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419402858l/24044596._SX50_.jpg,sports
6289283-born-to-run,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen (Hardcover)",Christopher McDougall,4.29,184937,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631519495l/6289283._SY75_.jpg,sports
25564665-the-mistake,"The Mistake (Off-Campus, #2)",Elle Kennedy,4.09,134561,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447598937l/25564665._SY75_.jpg,sports
817791.The_Blind_Side,The Blind Side (Paperback),Michael   Lewis,4.14,91970,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347350403l/817791._SX50_.jpg,sports
27252717-the-score,"The Score (Off-Campus, #3)",Elle Kennedy,4.25,116965,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493326480l/27252717._SY75_.jpg,sports
16158542-the-boys-in-the-boat,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics (Hardcover),Daniel James Brown,4.34,254344,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354683116l/16158542._SY75_.jpg,sports
24504274-pucked,"Pucked (Pucked, #1)",Helena Hunting,3.99,51882,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429896314l/24504274._SY75_.jpg,sports
25686927-him,"Him (Him, #1)",Sarina Bowen,4.44,46028,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436433289l/25686927._SY75_.jpg,sports
85431.Friday_Night_Light,"Friday Night Lights: A Town, a Team, and a Dream (Mass Market Paperback)",H.G. Bissinger,4.13,53750,1988,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266468877l/85431._SY75_.jpg,sports
22611920-the-hook-up,"The Hook Up (Game On, #1)",Kristen Callihan,3.99,49334,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407891923l/22611920._SY75_.jpg,sports
28597587-the-baller,The Baller (Kindle Edition),Vi Keeland,4.06,39778,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453140938l/28597587._SY75_.jpg,sports
6480781-open,Open (Hardcover),Andre Agassi,4.24,96866,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320520930l/6480781._SX50_.jpg,sports
18263725-the-crossover,The Crossover (ebook),Kwame Alexander,4.27,48276,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390427593l/18263725._SX50_.jpg,sports
