Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
19288043-gone-girl,Gone Girl (Paperback),Gillian Flynn,4.09,2583682,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554086139l/19288043._SY75_.jpg,suspense
22557272-the-girl-on-the-train,The Girl on the Train (Hardcover),Paula Hawkins,3.94,2397617,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574805682l/22557272._SX50_.jpg,suspense
968.The_Da_Vinci_Code,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.88,2095487,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579621267l/968._SY75_.jpg,suspense
2429135.The_Girl_with_the_Dragon_Tatt,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.15,2837556,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868566l/2429135._SX50_.jpg,suspense
960.Angels_Demon,"Angels & Demons (Robert Langdon, #1)",Dan Brown,3.92,2883297,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630637257l/960._SX50_.jpg,suspense
40389527-the-woman-in-the-wind,The Woman in the Window (Kindle Edition),A.J. Finn,3.95,602690,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528225499l/40389527._SY75_.jpg,suspense
18045891-sharp-object,Sharp Objects (Paperback),Gillian Flynn,3.99,801769,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1475695315l/18045891._SY75_.jpg,suspense
5060378-the-girl-who-played-with-fire,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.24,862828,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351778881l/5060378._SX50_.jpg,suspense
5886881-dark-place,Dark Places (Hardcover),Gillian Flynn,3.93,651032,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354988288l/5886881._SY75_.jpg,suspense
40097951-the-silent-patient,The Silent Patient (Hardcover),Alex Michaelides,4.12,837296,2019,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582759969l/40097951._SX50_.jpg,suspense
6892870-the-girl-who-kicked-the-hornet-s-nest,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,4.22,691329,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327708260l/6892870._SX50_.jpg,suspense
28187230-the-woman-in-cabin-10,The Woman in Cabin 10 (Hardcover),Ruth Ware,3.72,453150,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465878007l/28187230._SY75_.jpg,suspense
6411961-the-lost-symbol,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,3.73,566789,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534070883l/6411961._SY75_.jpg,suspense
9736930-before-i-go-to-sleep,Before I Go to Sleep (Hardcover),S.J. Watson,3.89,316314,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358353512l/9736930._SY75_.jpg,suspense
29437949-behind-closed-door,Behind Closed Doors (Hardcover),B.A. Paris,3.96,377078,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458854462l/29437949._SY75_.jpg,suspense
9293020-the-elephant-tree,The Elephant Tree (Paperback),R.D. Ronald,4.19,98769,2010,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327248026l/9293020._SY75_.jpg,suspense
16299.And_Then_There_Were_None,And Then There Were None (Paperback),Agatha Christie,4.26,996526,1939,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391120695l/16299._SY75_.jpg,suspense
17212231-infern,"Inferno (Robert Langdon, #4)",Dan Brown,3.86,512815,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534070896l/17212231._SY75_.jpg,suspense
17899948-rebecca,Rebecca (ebook),Daphne du Maurier,4.23,525640,1938,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386605169l/17899948._SX50_.jpg,suspense
976.Deception_Point,Deception Point (Mass Market Paperback),Dan Brown,3.73,632431,2001,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551277487l/976._SY75_.jpg,suspense
11125.Digital_Fortre,Digital Fortress (Paperback),Dan Brown,3.68,595647,1998,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360095966l/11125._SY75_.jpg,suspense
2767052-the-hunger-game,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.32,7056808,2008,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052._SY75_.jpg,suspense
59344312-verity,Verity (ebook),Colleen Hoover,4.37,376091,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634158558l/59344312._SY75_.jpg,suspense
11588.The_Shining,The Shining (Paperback),Stephen King,4.24,1251556,1977,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353277730l/11588._SY75_.jpg,suspense
28815474-the-couple-next-door,The Couple Next Door (Hardcover),Shari Lapena,3.8,420673,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1471502242l/28815474._SY75_.jpg,suspense
51933429-the-guest-list,The Guest List (Hardcover),Lucy Foley,3.85,454838,2020,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580194251l/51933429._SY75_.jpg,suspense
27834600-in-a-dark-dark-wood,"In a Dark, Dark Wood (Paperback)",Ruth Ware,3.71,269094,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523543089l/27834600._SY75_.jpg,suspense
29908754-the-zombie-room,The Zombie Room (Kindle Edition),R.D. Ronald,4.2,97035,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460547041l/29908754._SY75_.jpg,suspense
21686.Shutter_Island,Shutter Island (Mass Market Paperback),Dennis Lehane,4.07,188518,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329269081l/21686._SY75_.jpg,suspense
32542.A_Time_to_Kill,"A Time to Kill (Jake Brigance, #1)",John Grisham,4.08,755744,1989,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554303029l/32542._SY75_.jpg,suspense
34189556-the-wife-between-u,The Wife Between Us (Hardcover),Greer Hendricks,3.85,272476,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496862122l/34189556._SY75_.jpg,suspense
23807.The_Silence_of_the_Lam,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.21,512359,1988,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1167461954l/23807._SY75_.jpg,suspense
2459785.In_the_Wood,"In the Woods (Dublin Murder Squad, #1)",Tana French,3.77,354459,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562761513l/2459785._SY75_.jpg,suspense
78129.Killing_Floor,"Killing Floor (Jack Reacher, #1)",Lee Child,4.05,278557,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1399313258l/78129._SY75_.jpg,suspense
33151805-into-the-water,Into the Water (Hardcover),Paula Hawkins,3.59,326723,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494055413l/33151805._SY75_.jpg,suspense
10614.Misery,Misery (Paperback),Stephen King,4.18,569673,1987,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554220401l/10614._SY75_.jpg,suspense
6148028-catching-fire,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.3,2840189,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722941l/6148028._SY75_.jpg,suspense
32499.The_Pelican_Brief,The Pelican Brief (Paperback),John Grisham,4.02,404831,1992,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389486877l/32499._SY75_.jpg,suspense
7869.The_Bourne_Identity,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,4.04,421430,1980,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335860740l/7869._SY75_.jpg,suspense
5358.The_Firm,The Firm (Paperback),Robin Waterfield,4.03,598845,1991,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418465200l/5358._SY75_.jpg,suspense
28877.Red_Dragon,"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,4.03,306587,1981,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1593241110l/28877._SY75_.jpg,suspense
21449526-assuming-name,Assuming Names: A Con Artist's Masquerade (ebook),Tanya Thompson,3.77,37611,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394851829l/21449526._SX50_.jpg,suspense
35297426-then-she-was-gone,Then She Was Gone (Hardcover),Lisa Jewell,4.04,319009,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523891273l/35297426._SY75_.jpg,suspense
18812405-the-good-girl,The Good Girl (Hardcover),Mary Kubica,3.82,215691,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388340126l/18812405._SY75_.jpg,suspense
479309.Naked_in_Deat,Naked in Death (In Death #1),J.D. Robb,4.12,180062,1995,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333326143l/479309._SY75_.jpg,suspense
36430011-you,"You (You, #1)",Caroline Kepnes,3.92,185279,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549463282l/36430011._SY75_.jpg,suspense
5359.The_Client,The Client (Paperback),John Grisham,4.03,419360,1993,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554192326l/5359._SY75_.jpg,suspense
25574782-pretty-girl,Pretty Girls (Paperback),Karin Slaughter,4.01,217630,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432205734l/25574782._SY75_.jpg,suspense
42080142-the-turn-of-the-key,The Turn of the Key (Hardcover),Ruth Ware,3.93,185222,2019,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548204800l/42080142._SY75_.jpg,suspense
32326398-sometimes-i-lie,Sometimes I Lie (Paperback),Alice Feeney,3.81,119058,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498135142l/32326398._SY75_.jpg,suspense
7260188-mockingjay,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.05,2623158,2010,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722918l/7260188._SY75_.jpg,suspense
11367726-defending-jac,Defending Jacob (Hardcover),William Landay,3.98,286810,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329612158l/11367726._SY75_.jpg,suspense
13145.Along_Came_a_Spider,"Along Came a Spider (Alex Cross, #1)",James Patterson,4.11,425431,1993,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388272560l/13145._SY75_.jpg,suspense
19691.The_Hunt_for_Red_October,"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,4.09,359354,1984,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1281995542l/19691._SX50_.jpg,suspense
36373481-the-death-of-mrs-westaway,The Death of Mrs. Westaway (Hardcover),Ruth Ware,3.82,132668,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518710953l/36373481._SY75_.jpg,suspense
32263.The_Surgeon,"The Surgeon (Rizzoli & Isles, #1)",Tess Gerritsen,4.06,153626,2001,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1277923728l/32263._SY75_.jpg,suspense
43933.Tell_No_One,Tell No One (Mass Market Paperback),Harlan Coben,4.07,140574,2001,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421365049l/43933._SY75_.jpg,suspense
27833670-dark-matter,Dark Matter (Hardcover),Blake Crouch,4.1,318755,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472119680l/27833670._SY75_.jpg,suspense
13148.Kiss_the_Girl,"Kiss the Girls (Alex Cross, #2)",James Patterson,3.98,325409,1995,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390010470l/13148._SY75_.jpg,suspense
39863515-an-anonymous-girl,An Anonymous Girl (Hardcover),Greer Hendricks,3.82,124642,2019,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546956642l/39863515._SY75_.jpg,suspense
830502.It,It (Paperback),Stephen King,4.24,907078,1986,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334416842l/830502._SY75_.jpg,suspense
15818362-into-the-darkest-corner,Into the Darkest Corner (Paperback),Elizabeth Haynes,4.07,74683,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355923186l/15818362._SY75_.jpg,suspense
40604658-jurassic-par,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.06,855730,1990,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529604411l/40604658._SY75_.jpg,suspense
33516773-big-little-lie,Big Little Lies (Paperback),Liane Moriarty,4.28,846578,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559835163l/33516773._SY75_.jpg,suspense
18498558-bird-box,"Bird Box (Bird Box, #1)",Josh Malerman,4.02,164571,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383949470l/18498558._SY75_.jpg,suspense
16143347-we-were-liar,We Were Liars (Kindle Edition),E. Lockhart,3.79,702904,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402749479l/16143347._SY75_.jpg,suspense
14995.Odd_Thoma,"Odd Thomas (Odd Thomas, #1)",Dean Koontz,3.96,268100,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388245669l/14995._SY75_.jpg,suspense
32423.Watcher,Watchers (Paperback),Dean Koontz,4.17,165044,1987,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532695250l/32423._SY75_.jpg,suspense
36043601-red-russia,Red Russia (Kindle Edition),Tanya Thompson,4.16,19236,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1502768249l/36043601._SY75_.jpg,suspense
58679358-one-of-us-is-lying,"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,4.03,408273,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632078539l/58679358._SY75_.jpg,suspense
24192.The_Runaway_Jury,The Runaway Jury (Paperback),John Grisham,3.99,294096,1996,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388444668l/24192._SY75_.jpg,suspense
12716613-the-witne,The Witness (Paperback),Nora Roberts,4.22,71842,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329921937l/12716613._SY75_.jpg,suspense
18775247-mr-mercede,"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen King,3.96,273272,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468705326l/18775247._SY75_.jpg,suspense
12232938-the-lovely-bone,The Lovely Bones (Mass Market Paperback),Alice Sebold,3.83,2148823,2002,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457810586l/12232938._SY75_.jpg,suspense
23212667-all-the-missing-girl,All the Missing Girls (Kindle Edition),Megan Miranda,3.77,152029,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452098621l/23212667._SY75_.jpg,suspense
28965131-behind-her-eye,Behind Her Eyes (Hardcover),Sarah Pinborough,3.79,116412,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485279813l/28965131._SY75_.jpg,suspense
10644930-11-22-63,11/22/63 (Hardcover),Stephen King,4.3,472953,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327876792l/10644930._SY75_.jpg,suspense
6320534-under-the-dome,Under the Dome (Hardcover),Stephen King,3.9,279957,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511289992l/6320534._SY75_.jpg,suspense
21936809-the-kind-worth-killing,The Kind Worth Killing (Hardcover),Peter  Swanson,4.03,111170,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417981750l/21936809._SY75_.jpg,suspense
