Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
9791.A_Walk_in_the_Wood,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Mass Market Paperback),Bill Bryson,4.05,372504,1998,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388189974l/9791._SY75_.jpg,travel
24.In_a_Sunburned_Country,In a Sunburned Country (Paperback),Bill Bryson,4.06,100883,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388176242l/24._SY75_.jpg,travel
28.Notes_from_a_Small_Island,Notes from a Small Island (Paperback),Bill Bryson,3.9,105677,1995,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479653223l/28._SY75_.jpg,travel
19501.Eat_Pray_Love,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia (Paperback)",Elizabeth Gilbert,3.59,1587447,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503066414l/19501._SY75_.jpg,travel
27.Neither_Here_nor_There,Neither Here nor There: Travels in Europe (Paperback),Bill Bryson,3.84,70278,1991,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388187396l/27._SY75_.jpg,travel
12262741-wild,Wild: From Lost to Found on the Pacific Crest Trail (Hardcover),Cheryl Strayed,4.02,685096,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453189881l/12262741._SY75_.jpg,travel
26.The_Lost_Continent,The Lost Continent: Travels in Small Town America (Paperback),Bill Bryson,3.81,58263,1989,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404042682l/26._SY75_.jpg,travel
1845.Into_the_Wild,Into the Wild (Paperback),Jon Krakauer,3.99,955698,1996,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634587789l/1845._SY75_.jpg,travel
5306.Travels_with_Charley,Travels with Charley: In Search of America (Paperback),John Steinbeck,4.03,84412,1962,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924381l/5306._SY75_.jpg,travel
100247.Vagabonding,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel (Paperback),Rolf Potts,3.94,22479,2002,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320532720l/100247._SY75_.jpg,travel
25.I_m_a_Stranger_Here_Myself,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away (Paperback),Bill Bryson,3.87,66212,1999,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388184037l/25._SY75_.jpg,travel
40189.A_Year_in_Provence,A Year in Provence (Paperback),Peter Mayle,3.96,71123,1989,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535746681l/40189._SY75_.jpg,travel
480479.Under_the_Tuscan_Sun,Under the Tuscan Sun (Paperback),Frances Mayes,3.76,321973,1996,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320524083l/480479._SY75_.jpg,travel
