Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
2767052-the-hunger-game,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.32,7056808,2008,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052._SY75_.jpg,young-adult
6148028-catching-fire,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.3,2840189,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722941l/6148028._SY75_.jpg,young-adult
7260188-mockingjay,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.05,2623158,2010,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722918l/7260188._SY75_.jpg,young-adult
11870085-the-fault-in-our-star,The Fault in Our Stars (Hardcover),John Green,4.18,4066435,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632632557l/11870085._SX50_.jpg,young-adult
13335037-divergent,"Divergent (Divergent, #1)",Veronica Roth,4.17,3275974,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618526890l/13335037._SY75_.jpg,young-adult
41865.Twilight,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.62,5491541,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039443l/41865._SY75_.jpg,young-adult
3.Harry_Potter_and_the_Sorcerer_s_Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,8031548,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022l/3._SY75_.jpg,young-adult
6.Harry_Potter_and_the_Goblet_of_Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.56,2915744,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554006152l/6._SX50_.jpg,young-adult
136251.Harry_Potter_and_the_Deathly_Hall,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.61,3119378,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474171184l/136251._SY75_.jpg,young-adult
5.Harry_Potter_and_the_Prisoner_of_Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.57,3236693,1999,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630547330l/5._SY75_.jpg,young-adult
2.Harry_Potter_and_the_Order_of_the_Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,2808151,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265l/2._SX50_.jpg,young-adult
15881.Harry_Potter_and_the_Chamber_of_Secret,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,3099487,1998,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474169725l/15881._SY75_.jpg,young-adult
1.Harry_Potter_and_the_Half_Blood_Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.57,2721789,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587697303l/1._SX50_.jpg,young-adult
49041.New_Moon,"New Moon (The Twilight Saga, #2)",Stephenie Meyer,3.56,1628787,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630592760l/49041._SX50_.jpg,young-adult
11735983-insurgent,"Insurgent (Divergent, #2)",Veronica Roth,4.0,1296349,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618525340l/11735983._SY75_.jpg,young-adult
11735983-insurgent,"Insurgent (Divergent, #2)",Veronica Roth,4.0,1296349,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618525340l/11735983._SY75_.jpg,young-adult
256683.City_of_Bone,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.08,1777784,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315l/256683._SY75_.jpg,young-adult
1162543.Breaking_Dawn,"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.71,1460751,2008,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039438l/1162543._SY75_.jpg,young-adult
99561.Looking_for_Alaska,Looking for Alaska (Paperback),John Green,4.0,1274529,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394798630l/99561._SY75_.jpg,young-adult
22628.The_Perks_of_Being_a_Wallflower,The Perks of Being a Wallflower (Paperback),Stephen Chbosky,4.21,1419173,1999,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520093244l/22628._SY75_.jpg,young-adult
15745753-eleanor-par,Eleanor & Park (Hardcover),Rainbow Rowell,4.0,987081,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341952742l/15745753._SX50_.jpg,young-adult
3636.The_Giver,"The Giver (The Giver, #1)",Lois Lowry,4.13,2011001,1993,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342493368l/3636._SY75_.jpg,young-adult
36381037-cinder,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13,785696,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507557775l/36381037._SY75_.jpg,young-adult
18710190-allegiant,"Allegiant (Divergent, #3)",Veronica Roth,3.62,920016,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395582745l/18710190._SY75_.jpg,young-adult
6186357-the-maze-runner,"The Maze Runner (The Maze Runner, #1)",James Dashner,4.03,1222043,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375596592l/6186357._SY75_.jpg,young-adult
19063.The_Book_Thief,The Book Thief (Hardcover),Markus Zusak,4.38,2072168,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426l/19063._SY75_.jpg,young-adult
6442769-paper-town,Paper Towns (Paperback),John Green,3.76,1080013,2008,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349013610l/6442769._SX50_.jpg,young-adult
28187.The_Lightning_Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.27,2301947,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609l/28187._SY75_.jpg,young-adult
1582996.City_of_Ashe,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.13,835372,2008,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730356l/1582996._SY75_.jpg,young-adult
29844228-thirteen-reasons-why,Thirteen Reasons Why (Hardcover),Jay Asher,3.88,852768,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555345043l/29844228._SY75_.jpg,young-adult
32075671-the-hate-u-give,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,4.5,655874,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476284759l/32075671._SY75_.jpg,young-adult
16068905-fangirl,Fangirl (Kindle Edition),Rainbow Rowell,4.0,659702,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355886270l/16068905._SX50_.jpg,young-adult
9460487-miss-peregrine-s-home-for-peculiar-children,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.91,1097017,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1623449170l/9460487._SY75_.jpg,young-adult
10194157-shadow-and-bone,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,3.97,622218,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339533695l/10194157._SX50_.jpg,young-adult
